Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Код по классификатору МССК,Синонимы
,,HAC,,,,Декларациия соответствия материального ресурса,"Подтверждение соответствия материального ресурса (продукции) заданным требованиям после итоговой проверки. Заданные требования могут быть установлены нормативными документами, такими как регламенты, стандарты и технические условия.",ГОСТ ISO/IEC 17000-2012,,,Сформулировано на основании результата анализа источников,,
,HB,,,,,Инструкция по обращению с материальным ресурсом,"Документ, описывающий материальный ресурс и правила пользования им",Постановление Госкомстата РФ от 05.01.2004 N 1,По видам инструкций по обращению с материальным ресурсом,,Сформулировано на основании результата анализа источников,,
,,HBA,,,,Инструкция по сборке офисной техники,"Документ, описывающий офисную технику и правила по ее сборке",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HBB,,,,Инструкция по работе с машинами и механизмами,"Документ, описывающий машины и механизмы и правила работы с ними",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HBC,,,,Инструкция по обращению с вычислительной техникой,"Документ, описывающий вычислительную технику и правила обращения с ней",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,HC,,,,,Первичные учетные документы по учету материалов,"Документы, в которых отражаются все данные, которые используются для учета материалов",Постановление Госкомстата РФ от 05.01.2004 N 1,По видам первичных учетных документов по учету материалов,,Сформулировано на основании результата анализа источников,,
,,HCA,,,,Доверенность на материальный ресурс,"Документ, в котором содержится уполномочие на материальный ресурс, выдаваемое одним лицом другому лицу для представительства перед третьими лицами в правоотношениях",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HCB,,,,Приходный ордер на материальный ресурс,"Документ, применяемый для документального оформления и учета поступающих материальных ресурсов",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HCC,,,,Акт о приемке материального ресурса,"Документ, который фиксирует факт перехода права собственности на материальный ресурс от поставщика к заказчику",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HCD,,,,Лимитно-заборная карта материального ресурса,"Документ, который используется для документального оформления факта выдачи со склада определенного объема материальных ресурсов",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HCE,,,,Требование-накладная на материальный ресурс,"Документ, который применяется для учета движения материальных ресурсов внутри организации между структурными подразделениями или материально ответственными лицами",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HCF,,,,Накладная на отпуск материального ресурса на сторону,"Документ, который используется при передаче материального ресурса из одного предприятия в другое, либо представителям компании, которые находятся вне территории фирмы",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HCG,,,,Карточка учета материального ресурса,"Документ, который предназначен для отражения информации о движении материальных ресурсов в организации",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HCH,,,,"Акт об оприходовании материальных ресурсов, полученных при разборке и демонтаже зданий и сооружений","Документ, который применяется для оформления оприходования материальных ресурсов, полученных при разборке и демонтаже зданий и сооружений, пригодных для использования при производстве работ",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,HD,,,,,Первичные учетные документы по инвентаризации материальных ресурсов,"Документы, в которых отражаются все данные, которые используются при инвентаризации материальных ресурсов",Постановление Госкомстата РФ от 05.01.2004 N 1,По видам первичных учетных документов по инвентаризации материальных ресурсов,,Сформулировано на основании результата анализа источников,,
,,HDA,,,,Инвентаризационный ярлык,"Документ, применяемый при проведении инвентаризации материальных ресурсов предприятия в случаях, когда организация имеет большое количество имущества, пересчитать которое за один день не получается",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HDB,,,,Инвентарный номер,"Номер, присваиваемый каждому инвентарному объекту для ведения аналитического учета и организации контроля за использованием материальных ресурсов внутри организации",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HDC,,,,Инвентарная карточка,"Специальные учетные бланки, предназначенные для отражения поступления, движения и выбытия материальных ресурсов",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HDD,,,,Инвентарная книга,"Регистр, применяемый для учета материальных ресурсов при небольшом их количестве",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HDE,,,,Инвентаризационная опись товарно-материальных ценностей,"Документ, который применяется для отражения данных фактического наличия товарно-материальных ценностей в местах хранения и на всех этапах их движения в организации",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HDF,,,,Акт инвентаризации товарно-материальных ценностей,"Документ, который применяется при оформлении инвентаризации стоимости отгруженных товарно-материальных ценностей",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HDG,,,,Сличительная ведомость результатов инвентаризации товарно-материальных ценностей,"Документ, который составляется при выявлении излишков или недостач в ходе инвентаризации товарно-материальных ценностей",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HDH,,,,"Приказ (постановление, распоряжение) о проведении инвентаризации","Документ, конкретизирующий содержание, объем, порядок и сроки проведения инвентаризации проверяемого объекта, а также персональный состав инвентаризационной комиссии",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HDJ,,,,"Журнал учета контроля за выполнением приказов (постановлений, распоряжений) о проведении инвентаризации","Документ, который применяется для учета приказов (постановлений, распоряжений) о проведении инвентаризации, и по которому отслеживается их исполнение",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HDK,,,,Акт о контрольной проверке правильности проведения инвентаризации ценностей,"Документ, в котором фиксируются результаты контрольной проверки правильности проведения инвентаризации ценностей и отражаются возможные расхождения между данными инвентаризационных описей и итогами контрольной проверки",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HDL,,,,Журнал учета контрольных проверок правильности проведения инвентаризаций,"Документ, в котором фиксируются результаты контрольных проверок правильности проведения инвентаризации",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HDM,,,,"Ведомость учета результатов, выявленных инвентаризацией","Документ, который отражает результаты всех инвентаризационных процессов в отчетном периоде",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,HE,,,,,Первичные учетные документы по учету материальных ресурсов в местах хранения,"Документы, в которых отражаются все данные, которые используются для учета материальных ресурсов в местах хранения",Постановление Госкомстата РФ от 05.01.2004 N 1,По видам первичных учетных документов по учету материальных ресурсов в местах хранения,,Сформулировано на основании результата анализа источников,,
,,HEA,,,,Акт о приеме-передаче товарно-материальных ценностей на хранение,"Документ, составляемый уполномоченными лицами поклажедателя и хранителя на основе и в соответствии с договором хранения",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HEB,,,,"Журнал учета товарно-материальных ценностей, сданных на хранение","Документ, который применяется для ведения количественного учета движения товарно-материальных ценностей материально ответственного лица в местах хранения",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HEC,,,,"Акт о возврате товарно-материальных ценностей, сданных на хранение","Документ, составляемый материально-ответственным лицом организации-хранителя по истечении срока хранения материальных ценностей при возврате их поклажедателю",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HED,,,,"Журнал учета поступления продукции, товарно-материальных ценностей в места хранения","Документ, в котором фиксируется поступление продукции, товарно-материальных ценностей по месту хранения от различных поставщиков на основе первичных приходных документов",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HEE,,,,"Журнал учета расхода продукции, товарно-материальных ценностей в местах хранения","Документ, в котором фиксируется отпуск продукции, товарно-материальных ценностей различным поставщикам с места хранения на основе первичных расходных документов",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HEF,,,,"Акт о контрольной проверке продукции, товарно-материальных ценностей, вывозимых из мест хранения","Документ, который применяется при контрольной проверке фактического наличия товарно-материальных ценностей в местах хранения в случае обнаружения дежурным охраны расхождений в ассортименте, количестве мест или массе вывозимой продукции, товарно - материальных ценностей из мест хранения",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HEG,,,,Акт о выборочной проверке наличия товарно-материальных ценностей в местах хранения,"Документ, который применяется при выборочной проверке фактического наличия товарно-материальных ценностей в местах хранения в случае обнаружения дежурным охраны расхождений в ассортименте, количестве мест или массе вывозимой продукции, товарно - материальных ценностей из мест хранения",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HEH,,,,Акт об уценке товарно-материальных ценностей,"Документ, который применяется для оформления уценки товарно-материальных ценностей при моральном устаревании, снижении покупательского спроса, обнаружении признаков понижения качества по различным причинам",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,HF,,,,,Первичные учетные документы по учету малоценных и быстроизнашивающийся предметов,"Документы, в которых отражаются все данные, которые используются для учета малоценных и быстроизнашивающийся предметов",Постановление Госкомстата РФ от 05.01.2004 N 1,По видам первичных учетных документов по учету малоценных и быстроизнашивающийся предметов,,Сформулировано на основании результата анализа источников,,
,,HFA,,,,Карточка учета малоценных и быстроизнашивающихся предметов,"Документ, который применяется для учета малоценных и быстроизнашивающихся предметов, выданных под расписку работнику для длительного пользования",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HFB,,,,Акт выбытия малоценных и быстроизнашивающихся предметов,"Документ, который применяется для оформления поломки и утери малоценных и быстроизнашивающихся предметов",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HFC,,,,"Ведомость учета выдачи спецодежды, спецобуви и предохранительных приспособлений","Документ, который применяется для учета выдачи спецодежды, спецобуви и предохранительных приспособлений работникам в индивидуальное пользование",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,,HFD,,,,Акт на списание малоценных и быстроизнашивающихся предметов,"Документ, который применяется для оформления списания изношенных и непригодных для дальнейшего использования малоценных и быстроизнашивающихся предметов",Постановление Госкомстата РФ от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников,,
,HG,,,,,Заявка на предоставление материальных ресурсов,"Документ, содержащий запрос на предоставление материальных ресурсов",,По видам заявок на предоставление материальных ресурсов,,Сформулировано на основании результата анализа источников,,
,,HGA,,,,Заявка на предоставление автотранспорта,"Документ, содержащий запрос на предоставление автотранспорта",,,,Сформулировано на основании результата анализа источников,,
,,HGB,,,,"Заявка на предоставление офисного оборудования (мебель, оргтехника)","Документ, содержащий запрос на предоставление офисного оборудования (мебель, оргтехника)",,,,Сформулировано на основании результата анализа источников,,
J,,,,,,Юридическая информация,"Правовые акты, а также вся информация, которая связана с правом: материалы подготовки законопроектов и других нормативных правовых актов, их обсуждения и принятия, учета и упорядочения, толкования и реализации правовых норм, изучения практики их применения","ГОСТ Р ИСО 9001-2015
ГОСТ Р ИСО 21500-2014",По стадиям ведения юридических процессов,,Сформулировано на основании результата анализа источников,,
,JA,,,,,Инициирующий юридический документ,"Юридический документ, содержащий необходимую для совершения (инициации) определенных юридически действий информацию",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,По видам инициирующих юридических документов,,Сформулировано на основании результата анализа источников,,
,,JAA,,,,Судебное заявление,"Официальное обращение гражданина (нескольких лиц) в гос. орган или орган местного самоуправления, администрацию учреждения, организации или к должностному лицу, не связанное, в отличие от жалобы, с нарушением его прав и законных интересов и не содержащее просьбы устранить такое нарушение, а направлено на реализацию прав и интересов заявителя или на устранение тех или иных недостатков в деятельности предприятий, учреждений, организаций",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,По видам судебных заявлений,,Сформулировано на основании результата анализа источников,,
,,,JAAA,,,Заявление о возбуждении исполнительного производства,"Официальное обращение гражданина (нескольких лиц) в гос. орган или орган местного самоуправления, администрацию учреждения, организации или к должностному лицу о возбуждении исполнительного производства",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,JAAB,,,Заявление о выдаче исполнительного листа,"Официальное обращение гражданина (нескольких лиц) в гос. орган или орган местного самоуправления, администрацию учреждения, организации или к должностному лицу о выдаче исполнительного листа",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,JAAC,,,Заявление о выдаче судебного приказа,"Официальное обращение гражданина (нескольких лиц) в гос. орган или орган местного самоуправления, администрацию учреждения, организации или к должностному лицу о выдаче судебного приказа",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,JAAD,,,Заявление о выдаче судебного решения,"Официальное обращение гражданина (нескольких лиц) в гос. орган или орган местного самоуправления, администрацию учреждения, организации или к должностному лицу о выдаче судебного решения",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,JAAE,,,Заявление о возмещении расходов,"Официальное обращение гражданина (нескольких лиц) в гос. орган или орган местного самоуправления, администрацию учреждения, организации или к должностному лицу о возмещении расходов",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,JAAF,,,Заявление о возврате документов,"Официальное обращение гражданина (нескольких лиц) в гос. орган или орган местного самоуправления, администрацию учреждения, организации или к должностному лицу о возврате документов",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,JAAG,,,Исковое заявление,"Внешняя форма выражения иска, содержащая определенные реквизиты и отражающая материально-правовое требование истца к ответчику, составляющее предмет иска",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,JAAH,,,Встречное исковое заявление,"Внешняя форма выражения иска, содержащая определенные реквизиты и отражающая материально-правовое требование ответчика к истцу, заявленное в суде или арбитражном суде в возникшем уже процессе для совместного рассмотрения с первоначальным иском",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,JAB,,,,Претензия,"Внешняя форма выражения претензии, содержащая определенные реквизиты и отражающая форму защиты гражданских прав, представляющую собой урегулирование спорных вопросов между кредитором и должником до передачи спора в суд или арбитражный суд",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,JAC,,,,Апелляционная жалоба,"Внешняя форма выражения жалобы на судебный акт, подаваемая в вышестоящий суд, в которой обосновывается ходатайство об исправлении или отмене решения (приговора) нижестоящего суда, вынесенного по делу",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,JAD,,,,Кассационная жалоба,"Внешняя форма выражения жалобы для защиты и восстановления прав и законных интересов граждан от возможного их нарушения со стороны суда, путём проверки вышестоящим судом решения суда первой инстанции",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,JAE,,,,Административная жалоба,"Обращение, подаваемое в административный орган, с требованием одного или нескольких граждан о восстановлении или защите его нарушенных прав, свобод или законных интересов либо прав, свобод или законных интересов других лиц",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,JAF,,,,Судебная повестка,Документ об официальном необязательном либо обязательном вызове в суд,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,JB,,,,,Процессуальный юридический документ,"Юридический документ, содержащий необходимую для исполнения определенных юридически действий информацию",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,По видам процессуальных юридических документов,,Сформулировано на основании результата анализа источников,,
,,JBA,,,,Ответ на претензию,"Документ, направляемый ответчиком заявителю с целью разрешения ситуации по претензии",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,JBB,,,,Отзыв на исковое заявление,"Документ, направляемый ответчиком заявителю с целью разрешения ситуации по исковому заявлению",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,JBC,,,,Юридическая доверенность,"Документ, который дает право одному человеку действовать от имени другого или от имени организации",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,JBD,,,,Судебная справка,"Документ, который содержит описание и подтверждение юридических фактов",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,JBE,,,,Ходатайство,"Официальный запрос, обращённый к судьям, прокурорам, органам дознания, следователям на принятие решения или совершение неких процессуальных действий",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,JC,,,,,Резолютивный юридический документ,"Юридический документ, содержащий необходимую для завершения определенных юридически действий информацию",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,По видам резолютивных юридических документов,,Сформулировано на основании результата анализа источников,,
,,JCA,,,,Судебный акт,"Правоприменительный акт суда, разрешающий уголовное, гражданское или административное дело по существу",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,По видам судебных актов,,Сформулировано на основании результата анализа источников,,
,,,JCAA,,,Акт Конституционного Суда РФ,"Правоприменительный Конституционного Суда РФ, разрешающий уголовное, гражданское или административное дело по существу",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,,,JCAA010,Решение Конституционного Суда РФ,"Решение Конституционного Суда РФ, разрешающее уголовное, гражданское или административное дело по существу",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,,,JCAA020,Постановление и заключение Конституционного Суда РФ,"Властный волевой акт Конституционного Суда РФ, обеспеченный государственным принуждением и обязательный для исполнения всеми участниками процесса",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,JCAB,,,Акт Верховного Суда РФ,"Правоприменительный акт Верховного Суда РФ, разрешающий уголовное, гражданское или административное дело по существу",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,,,JCAB010,Постановление Президиума Верховного Суда РФ,"Властный волевой акт Президиума Верховного Суда РФ, обеспеченный государственным принуждением и обязательный для исполнения всеми участниками процесса",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,,,JCAB020,Постановление Пленума Верховного Суда РФ,"Властный волевой акт Пленума Верховного Суда РФ, обеспеченный государственным принуждением и обязательный для исполнения всеми участниками процесса",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,,,JCAB030,Определение Судебной коллегии Верховного Суда РФ,"Документ Судебной коллегии Верховного Суда РФ, который проясняет отдельные вопросы, возникающие при рассмотрении дела и при исполнении решения суда",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,,,JCAB040,Решение Верховного Суда РФ,"Решение Верховного Суда РФ, разрешающее уголовное, гражданское или административное дело по существу",Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников,,
