Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Управленческая группа процессов,Примеры,Примечания,Синонимы,УИН
,,BGB,,,"Формирование Раздела 2 проектной документации линейного объекта ""Проект полосы отвода""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 2 проектной документации линейных ОКС,"Постановление Правительства РФ от 16.02.2008 N 87
 ГОСТ Р 21.101-2020
ГОСТ 21.002-2014",По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000182
,,,BGBA,,"Формирование текстовой части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 2 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Описание характеристики трассы линейного объекта
Описание расчета размеров земельных участков на линейный объект
Описание решений по организации рельефа трассы и инженерной подготовке территории на линейный объект
Обоснование необходимости размещения линейного объекта и его инфраструктуры
Описание сведений о наличии зон с особыми условиями использования территорий, расположенных в границах земельного участка, предназначенного для размещения объекта капитального строительства
Перечни искусственных сооружений, пересечений, примыканий, включая их характеристику, перечень инженерных коммуникаций, подлежащих переустройству
Описание сведений о радиусах и углах поворота, длине прямых и криволинейных участков, продольных и поперечных уклонах, преодолеваемых высотах",Сформулировано на основании результата анализа источников,,KSI100000183
,,,BGBB,,"Формирование графической части Раздела 2 проектной документации линейного объекта ""Проект полосы отвода""",Оформление результатов проектирования в соответствии с требованиями к содержанию графической части Раздела 2 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Представление топографической карты-схемы
Представление плана и продольного профиля трассы с инженерно-геологическим разрезом, с указанием пикетов, углов поворота, обозначением существующих, проектируемых, реконструируемых, сносимых зданий и сооружений, трасс сетей инженерно-технического обеспечения, сопутствующих и пересекаемых коммуникаций, а также для магистральных нефтепроводов и нефтепродуктопроводов - с указанием мест размещения запорной арматуры (задвижек с электрическим приводом и ручных), станций электрохимической защиты, магистральной линии связи и электроснабжения для средств катодной защиты и приводов электрических задвижек, мест размещения головной и промежуточной перекачивающих станций, мест размещения потребителей
",Сформулировано на основании результата анализа источников,,KSI100000184
,,BGC,,,"Формирование Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 3 проектной документации линейных ОКС,"Постановление Правительства РФ от 16.02.2008 N 87
 ГОСТ Р 21.101-2020
ГОСТ 21.002-2014",По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000185
,,,BGCA,,"Формирование текстовой части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 3 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Сведения о топографических, инженерно-геологических, гидрогеологических, метеорологических и климатических условиях участка линейного объекта
Сведения об особых природно-климатических условиях земельного участка, предоставляемого для размещения линейного объекта
Сведения о проектной мощности линейного объекта
Описание характеристик технологического оборудования и устройств линейного объекта
Описание мероприятий по энергосбережению на линейный объект
Обоснование количества и типов оборудования на линейный объект
Архитектурные и объемно-планировочные решения на линейный объект
Описание сведений о прочностных и деформационных характеристиках грунта в основании линейного объекта
Описание сведений об уровне грунтовых вод, их химическом составе, агрессивности по отношению к материалам изделий и конструкций подземной части линейного объекта
Перечень дератизационных мероприятий на линейный объект 
Описание сведений о численности и профессионально-квалификационном составе персонала с распределением по группам производственных процессов, число и оснащенность рабочих мест на линейный объект
Обоснование принятых в проектной документации автоматизированных систем управления технологическими процессами, автоматических систем по предотвращению нарушения устойчивости и качества работы линейного объекта
Описание и обоснование проектных решений при реализации требований, предусмотренных статьей 8 Федерального закона ""О транспортной безопасности""
Обоснование технических решений по строительству, реконструкции, капитальному ремонту линейного объекта в сложных инженерно-геологических условиях ",Сформулировано на основании результата анализа источников,,KSI100000186
,,,BGCB,,"Формирование графической части Раздела 3 проектной документации ""Технологические и конструктивные решения линейного объекта. Искусственные сооружения""",Оформление результатов проектирования в соответствии с требованиями к содержанию графической части Раздела 3 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Чертеж конструктивных решений несущих конструкций и отдельных элементов опор на линейный объект
Чертеж основных элементов искусственных сооружений, конструкций на линейный объект
Схема линейного объекта с обозначением мест установки технологического оборудования 
Схема крепления элементов конструкций
Определяющие схемы перемещения на объекте транспортной инфраструктуры пассажиров, грузов, багажа и иных материальных объектов
Определяющие схемы объекта транспортной инфраструктуры с указанием предполагаемых границ зоны транспортной безопасности объекта транспортной инфраструктуры и ее частей
Определяющие схемы расположения и техническое оснащение на объекте транспортной инфраструктуры специального помещения или части помещения (поста (пункта) управления обеспечением транспортной безопасности) для управления техническими средствами обеспечения транспортной безопасности и силами обеспечения транспортной безопасности
Определяющие схемы расположения на объекте транспортной инфраструктуры специальных помещений или частей помещений, участков (контрольно-пропускных пунктов (постов) для осуществления пропускного режима, проведения досмотра, дополнительного досмотра и повторного досмотра в целях обеспечения транспортной безопасности
Определяющие схемы размещения и техническое оснащение автоматизированной системы, обеспечивающей сбор, накопление, обработку и хранение данных, доступ к данным с технических средств обеспечения транспортной безопасности объекта транспортной инфраструктуры, а также их передачу уполномоченным подразделениям Федеральной службы безопасности Российской Федерации, Министерства внутренних дел Российской Федерации и территориальным органам Федеральной службы по надзору в сфере транспорта
",Сформулировано на основании результата анализа источников,,KSI100000187
,,BGD,,,"Формирование Раздела 4 проектной документации ""Здания, строения и сооружения, входящие в инфраструктуру линейного объекта""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 4 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000188
,,,BGDA,,"Формирование текстовой части Раздела 4 проектной документации ""Здания, строения и сооружения, входящие в инфраструктуру линейного объекта""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 4 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Формирование перечня зданий, строений и сооружений, проектируемых в составе линейного объекта
Описание сведений о строительстве новых, реконструкции существующих ОКС производственного и непроизводственного назначения, обеспечивающих функционирование линейного объекта
Описание сведений о проектной документации, применяемой при проектировании зданий и сооружений, проектируемых в составе линейного объекта",Сформулировано на основании результата анализа источников,,KSI100000189
,,,BGDB,,"Формирование графической части Раздела 4 проектной документации ""Здания, строения и сооружения, входящие в инфраструктуру линейного объекта""",Оформление результатов проектирования в соответствии с требованиями к содержанию графической части Раздела 4 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Представление схемы линейного объекта с обозначением мест расположения зданий, строений и сооружений, проектируемых в составе линейного объекта и обеспечивающих его функционирование
Представление поэтажных планов зданий, строений и сооружений, проектируемых в составе линейного объекта и обеспечивающих его функционирование, с приведением экспликации помещений",Сформулировано на основании результата анализа источников,,KSI100000190
,,BGE,,,"Формирование Раздела 5 проектной документации линейного объекта ""Проект организации строительства""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 5 проектной документации линейных ОКС,"Постановление Правительства РФ от 16.02.2008 N 87
 ГОСТ Р 21.101-2020
ГОСТ 21.002-2014",По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000191
,,,BGEA,,"Формирование текстовой части Раздела 5 проектной документации линейного объекта ""Проект организации строительства""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 5 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Сведения о размерах земельных участков, временно отводимых на период строительства на линейный объект
Сведения о местах размещения баз материально-технического обеспечения, производственных организаций и объектов энергетического обеспечения на линейный объект
Обоснование организационно-технологической схемы на линейный объект
Перечень основных видов строительных и монтажных работ на линейный объект
Описание характеристики трассы линейного объекта, района его строительства, реконструкции, капитального ремонта, описание полосы отвода и мест расположения на трассе зданий, строений и сооружений, проектируемых в составе линейного объекта и обеспечивающих его функционирование
Описание транспортной схемы (схем) доставки материально-технических ресурсов с указанием мест расположения станций и пристаней разгрузки, промежуточных складов и временных подъездных дорог, в том числе временной дороги вдоль линейного объекта
Обоснование потребности в основных строительных машинах, механизмах, транспортных средствах, электрической энергии, паре, воде, кислороде, ацетилене, сжатом воздухе, взрывчатых веществах (при необходимости), а также во временных зданиях и сооружениях на линейный объект
Перечень специальных вспомогательных сооружений, стендов, установок, приспособлений и устройств, требующих разработки рабочих чертежей для их строительства, реконструкции, капитального ремонта на линейный объект
Описание сведений об объемах и трудоемкости основных строительных и монтажных работ по участкам трассы
Указание мест обхода или преодоления специальными средствами естественных препятствий и преград, переправ на водных объектах 
Описание технических решений по возможному использованию отдельных участков проектируемого линейного объекта для нужд строительства, реконструкции, капитального ремонта
Перечень мероприятий по предотвращению в ходе строительства, реконструкции, капитального ремонта опасных инженерно-геологических и техногенных явлений, иных опасных природных процессов  на линейный объект
Перечень мероприятий по обеспечению на линейном объекте безопасного движения в период его строительства, реконструкции, капитального ремонта
Описание проектных решений и мероприятий по реализации требований по обеспечению транспортной безопасности объектов транспортной инфраструктуры по видам транспорта на этапе их проектирования и строительства 
Обоснование потребности строительства, реконструкции, капитального ремонта в кадрах, жилье и социально-бытовом обслуживании персонала, участвующего в строительстве, реконструкции, капитальном ремонте на линейный объект
Обоснование принятой продолжительности строительства, реконструкции, капитального ремонта  на линейный объект
Описание проектных решений и перечень мероприятий, обеспечивающих сохранение окружающей среды в период строительства, реконструкции, капитального ремонта на линейный объект
Перечень проектных решений по устройству временных сетей инженерно-технического обеспечения на период строительства, реконструкции, капитального ремонта линейного объекта 
Перечень зданий, строений и сооружений, подлежащих сносу на линейный объект
Перечень мероприятий по обеспечению защиты зданий, строений и сооружений, подлежащих сносу, от проникновения людей и животных в зону работ, а также по обеспечению защиты зеленых насаждений  на линейный объект
Описание и обоснование принятого метода сноса на линейный объект
Расчеты и обоснование размеров зон развала и опасных зон в зависимости от принятого метода сноса на линейный объект
Описание и обоснование методов защиты и защитных устройств сетей инженерно-технического обеспечения, согласованные с владельцами этих сетей на линейный объект
Описание и обоснование решений по безопасным методам ведения работ по сносу на линейный объект
Описание решений по вывозу и утилизации отходов на линейный объект
Перечень мероприятий по рекультивации и благоустройству земельного участка на линейный объект
",Сформулировано на основании результата анализа источников,,KSI100000192
,,,BGEB,,"Формирование графической части Раздела 5 проектной документации линейного объекта ""Проект организации строительства""",Оформление результатов проектирования в соответствии с требованиями к содержанию графической части Раздела 5 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Ситуационный план (карта-схема) района с указанием плана трассы линейного объекта, пунктов начала и окончания трассы
План полосы отвода с указанием существующих в полосе отвода, возводимых и подлежащих сносу зданий, строений и сооружений на линейный объект
Организационно-технологическая схема на линейный объект
План земельного участка и прилегающих территорий с указанием места размещения сносимого объекта, сетей инженерно-технического обеспечения, зон развала и опасных зон в период сноса объекта с указанием мест складирования разбираемых материалов, конструкций, изделий и оборудования на линейный объект
Чертежи защитных устройств инженерной инфраструктуры и подземных коммуникаций на линейный объект
Технологические карты-схемы последовательности сноса строительных конструкций и оборудования на линейный объект ",Сформулировано на основании результата анализа источников,,KSI100000193
,,BGG,,,"Формирование Раздела 6 проектной документации ""Мероприятия по охране окружающей среды""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 6 проектной документации линейных ОКС,"Постановление Правительства РФ от 16.02.2008 N 87
 ГОСТ Р 21.101-2020
ГОСТ 21.002-2014",По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000194
,,,BGGA,,"Формирование текстовой части Раздела 6 проектной документации ""Мероприятия по охране окружающей среды""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 6 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Результаты оценки воздействия линейного объекта на окружающую среду
Перечень мероприятий по предотвращению и (или) снижению возможного негативного воздействия намечаемой хозяйственной деятельности по линейному объекту на окружающую среду
Перечень и расчет затрат на реализацию природоохранных мероприятий и компенсационных выплат на линейный объект
",Сформулировано на основании результата анализа источников,,KSI100000195
,,,BGGB,,"Формирование графической части Раздела 6 проектной документации ""Мероприятия по охране окружающей среды""",Оформление результатов проектирования в соответствии с требованиями к содержанию графической части Раздела 6 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Карта-схема с указанием размещения линейного объекта и границ зон с особыми условиями использования территории
Карта-схема границ зон экологического риска и возможного загрязнения окружающей природной среды вследствие аварии на линейном объекте
Ситуационный план размещения трассы линейного объекта в границах земельных участков, предназначенных для размещения этого объекта
",Сформулировано на основании результата анализа источников,,KSI100000196
,,BGH,,,"Формирование Раздела 7 проектной документации линейного объекта ""Мероприятия по обеспечению пожарной безопасности""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 7 проектной документации линейных ОКС,"Постановление Правительства РФ от 16.02.2008 N 87
 ГОСТ Р 21.101-2020
ГОСТ 21.002-2014",По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000197
,,,BGHA,,"Формирование текстовой части Раздела 7 проектной документации линейного объекта ""Мероприятия по обеспечению пожарной безопасности""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 7 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Описание системы обеспечения пожарной безопасности линейного объекта
Описание характеристики пожарной опасности технологических процессов линейного объекта
Описание и обоснование проектных решений, обеспечивающих пожарную безопасность линейного объекта
Описание и обоснование проектных решений, обеспечивающих пожарную безопасность линейного объекта
Описание и обоснование объемно-планировочных и конструктивных решений, степени огнестойкости и класса конструктивной пожарной опасности, предела огнестойкости и класса пожарной опасности строительных конструкций обеспечивающих функционирование линейного объекта зданий, строений и сооружений, проектируемых и (или) находящихся в составе линейного объекта
Перечень мероприятий, обеспечивающих безопасность подразделений пожарной охраны при ликвидации пожара
Описание сведений о категории оборудования и наружных установок по критерию взрывопожарной и пожарной опасности на линейный объект
Перечень оборудования линейного объекта, подлежащего защите с применением автоматических установок пожаротушения и автоматической пожарной сигнализации
Описание и обоснование технических систем противопожарной защиты, описание размещения технических систем противопожарной защиты, систем их управления, а также способа взаимодействия с инженерными системами зданий и оборудованием, работа которого во время пожара направлена на обеспечение безопасной эвакуации людей, тушение пожара и ограничение его развития, а также порядок работы технических систем (средств) для работы автоматических систем пожаротушения и пожарной техники (при наличии таких систем) на линейный объект
Описание технических решений по противопожарной защите технологических узлов и систем на линейный объект
Описание организационно-технических мероприятий по обеспечению пожарной безопасности линейного объекта, обоснование необходимости создания пожарной охраны объекта, расчет ее необходимых сил и средств
Определение пожарных рисков угрозы жизни и здоровью людей, уничтожения имущества на линейном объекте
",Сформулировано на основании результата анализа источников,,KSI100000198
,,,BGHB,,"Формирование графической части Раздела 7 проектной документации линейного объекта ""Мероприятия по обеспечению пожарной безопасности""",Оформление результатов проектирования в соответствии с требованиями к содержанию графической части Раздела 7 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Представление ситуационного плана организации земельного участка, предоставленного для размещения линейного объекта
Представление структурных схем технических систем (средств) противопожарной защиты",Сформулировано на основании результата анализа источников,,KSI100000199
,,BGJ,,,"Формирование Раздела 9 проектной документации линейного объекта ""Смета на строительство, реконструкцию, капитальный ремонт, снос объекта капитального строительства""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 9 проектной документации линейных ОКС,"Постановление Правительства РФ от 16.02.2008 N 87
 ГОСТ Р 21.101-2020
ГОСТ 21.002-2014",По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000200
,,,BGJA,,"Формирование текстовой части Раздела 9 проектной документации линейного объекта ""Смета на строительство, реконструкцию, капитальный ремонт, снос объекта капитального строительства""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 9 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Сведения о месте расположения линейного объекта
Обоснование особенностей определения сметной стоимости строительных работ на линейный объект
Сводка затрат линейного объекта
Сводный сметный расчет стоимости строительства линейного объекта
Объектный сметный расчет линейного объекта
Локальный сметный расчет линейного объекта
Сметный расчет на отдельные виды затрат линейного объекта
",Сформулировано на основании результата анализа источников,,KSI100000201
,,BGK,,,"Формирование Раздела 10 проектной документации линейного объекта  ""Иная документация в случаях, предусмотренных законодательными и иными нормативными правовыми актами Российской Федерации""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 10 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,По виду процессов,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000202
,,,BGKA,,"Формирование текстовой части Раздела 10 проектной документации линейного объекта ""Иная документация в случаях, предусмотренных законодательными и иными нормативными правовыми актами Российской Федерации""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 10 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Декларация промышленной безопасности опасных производственных объектов, разрабатываемую на стадии проектирования на линейный объект
Декларация безопасности гидротехнических сооружений, разрабатываемую на стадии проектирования на линейный объект
Перечень мероприятий по гражданской обороне, мероприятий по предупреждению чрезвычайных ситуаций природного и техногенного характера, мероприятий по противодействию терроризму для объектов использования атомной энергии, опасных производственных объектов, определяемых таковыми в соответствии с законодательством Российской Федерации, особо опасных, технически сложных, уникальных объектов, объектов обороны и безопасности на линейный объект
Иная документацию, установленную законодательными и иными нормативными правовыми актами Российской Федерации на линейный объект
",Сформулировано на основании результата анализа источников,,KSI100000203
,,BGL,,,"Формирование Раздела 8 проектной документации линейного объекта ""Требования к обеспечению безопасной эксплуатации линейного объекта""",Оформление результатов проектирования в соответствии с требованиями к содержанию Раздела 8 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,,Сформулировано на основании результата анализа источников,,KSI100000204
,,,BGLA,,"Формирование текстовой части Раздела 8 проектной документации линейного объекта ""Требования к обеспечению безопасной эксплуатации линейного объекта""",Оформление результатов проектирования в соответствии с требованиями к содержанию текстовой части Раздела 8 проектной документации линейных ОКС,Постановление Правительства РФ от 16.02.2008 N 87,,Исполнение,"Описание требований к способам проведения мероприятий по техническому обслуживанию линейного объекта, при которых исключается угроза нарушения безопасности линейного объекта или недопустимого ухудшения параметров среды обитания человека
Описание сведений о минимальной периодичности осуществления проверок, осмотров и освидетельствований состояния линейного объекта, его строительных конструкций, технологического оборудования и устройств
Описание сведений о значениях эксплуатационных нагрузок на строительные конструкции, технологическое оборудование и устройства, которые недопустимо превышать в процессе эксплуатации линейного объекта
Организационно-технические мероприятия по обеспечению пожарной безопасности в процессе эксплуатации линейного объекта
Описание сведений о сроках эксплуатации линейного объекта и его частей
Описание сведений о нормативной периодичности выполнения работ по капитальному ремонту линейного объекта, необходимых для обеспечения безопасной эксплуатации такого объекта, в том числе отдельных элементов и конструкций
Перечень мероприятий, обеспечивающих соблюдение требований по охране труда в процессе эксплуатации линейного объекта
Описание решений на линейный объект по организации ремонтного хозяйства, его оснащенности
",Сформулировано на основании результата анализа источников,,KSI100000205
