Класс,Подкласс 1,Подкласс 2,"Тип
(%%)",Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,"Примеры компонентов по ISO
по ISO 81346-2:2019","Примеры компонентов (НТД РФ)
(НТД РФ)",IFC-entity,КСР,МССК,ПСК,Примечание,Синонимы
,,ULJ,,пилястра,"несущий конструктивный объект с плоской или изогнутой поверхностью, выдерживающий силы сжатия или изгибающие усилия
-
Плоская прямоугольная колонна или пилон, полностью присоединенная к поверхности стены",ГОСТ Р ИСО 6707-1-2020,,,пилястра,,,,,,
,,ULK,,плита,"несущий конструктивный объект в виде горизонтальной плоской поверхности, выдерживающий изгибающие усилия
-
Горизонтальный плоскостной элемент сооружения, предназначенный для восприятия эксплуатационных нагрузок и передачи их на несущие элементы.","ГОСТ 21506-2013
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"мостовой настил, бетонный настил, настил, плита перекрытия, фундаментная плита, настил на отверстие, плита","фундаментная плита
плита перекрытия
плита
плита проезжей части",IfcSlab,,"ЭЛ 20 20 55
ЭЛ 30 10 25
ЭЛ 30 10 40",,,
,,ULL,,подпорная стенка,"несущий конструктивный объект в виде вертикальной плоской или изогнутой поверхности, выдерживающий изгибающие усилия",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"консольная стена, массивная подпорная стена, шпунтовая стенка","подпорная стена
подпорная стенка
шпунт стальной",IfcWall,,ЭЛ 10 20 30,,,
,,ULM,,стена,"несущий конструктивный объект в виде плоской или изогнутой поверхности, выдерживающий силы сжатия
-
Вертикальная строительная конструкция, которая ограничивает или разделяет пространство и, как правило, выполняет несущую или опорную функцию","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"бетонный элемент, облицовочная стена, фундаментная стена, несущая стена, стена","стена
панель","IfcWall, IfcPlate, IfcPlateStandarsCase",,ЭЛ 30 10 15,,,
,,ULN,,оболочечный элемент,"несущий конструктивный объект в виде плоской или изогнутой поверхности, выдерживающий растягивающий усилия",,,"скуловой лист, обшивка корпуса, пластина
корпуса корабля, плита с работающей обшивкой",,,,,,,
,,ULP,,неразрезная арочная конструкция,"несущий конструктивный объект в виде изогнутой поверхности, выдерживающий изгибающие усилия",,,"купол, мембрана, туннель трубопровода, свод",,,,,,,
,,ULQ,,опорная плита,"несущий конструктивный объект в виде плоской поверхности, распределяющий нагрузку в соединениях",,,"пластина, распределение давления, опорный клин",,,,,,,
,,ULR,,несущий трос,"несущий конструктивный объект изогнутой линейной формы, выдерживающий растягивающие усилия",,,,вант,,,,,,
,,ULS,,диафрагма жесткости,"несущий конструктивный объект в виде плоской поверхности, выдерживающий поперечные (боковые) усилия, действующие в его плоскости
-
 Стена, служащая для восприятия сдвиговых усилий, действующих в ее плоскости",ГОСТ Р ИСО 6707-1-2020,,,"диафрагма жесткости
контрфорс","IfcWall, IfcPlate, IfcPlateStandarsCase",,,,,
,,ULT,,ростверк,"несущий конструктивный объект в виде бетонной или железобетонной плиты либо балки, объединяющей сваи в одну устойчивую систему и служащая для передачи нагрузки на сваи","ГОСТ Р 52086-2003
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,,,ЭЛ 10 10 55,,,
,,ULU,,шкафная стенка,,,,,,,,,,,
,,ULV,,открылок,,,,,,,,,,,
,UM,,,объект для укрепления (усиления),объект для удержания путем укрепления или усиления,ISO 81346-2:2019,Вид метода,,,,,,,,
,,UMA,,усиливающий стержень,"усиливающий объект в виде закладного стержня
-
",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,арматура,"арматурный стержень
анкер
нагель
нагельное соединение",IfcReinforcingBar,,"ЭЛ 10 90 10
ЭЛ 10 90 30",,,
,,UMB,,усиливающая сетка,усиливающий объект в виде встроенной сетки или ткани,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,арматурная сетка,арматурная сетка,IfcReinforcingMesh,,ЭЛ 10 90 20,,,
,,UMC,,армирующий слой,усиливающий объект в виде слоя материала,,,усиление дорожного покрытия,,IfcReinforcingElement,,,,,
,,UMD,,армирующее вещество,усиливающий объект в виде вложенного материала,,,"бетонная закачка, известковая колонна",,,,,,,
,,UME,,защитная пластина,усиливающий объект в виде защелки замка,,,,,,,,,,
,,UMF,,накладка,усиливающий объект в качестве промежуточного соединителя,,,соединительная пластина,,,,,,,
,,UMG,,скважина вертикального дренажа,усиливающий объект с использованием вертикального дренирования,,,,,,,,,,
,,UMH,,набрызг бетона,усиливающий объект с использованием набрызга бетона,,,,,IfcSurfaceFeature,,,,,
,,UMJ,,бетонное покрытие,усиливающий объект с использованием бетонной облицовки,,,,крепь,IfcCovering,,,,,
,,UMK,,элемент усиления локальной жесткости,усиливающий объект с использованием ребер жесткости,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"контрфорс, подпорка, контрфорсная арка, ребро","вут
контрфорс
диафрагма
ребро жесткости",,,"ЭЛ 20 20 47
ЭЛ 40 45 10 40",,,
,,UML,,связевой элемент,усиливающий объект с использованием диагональной перевязки,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,раскос,,,ЭЛ 30 16 80 10,,,
,,UMM,,удерживающий трос,усиливающий объект в виде тросов,,,,растяжка,,,,,,
,,UMN,,распорка,усиливающий объект в виде горизонтальной перекладины,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,"пояс фермы
распорка",,,ЭЛ 30 16 52,,,
,,UMQ,,насыпь,"усиливающий объект, земляное сооружение из насыпного грунта, верхняя часть которого на всей ширине распо-ложена выше уровня земли",,,,,,,,,,
,UN,,,обрамляющий объект,"объект, удерживающий другие объекты путем заключения их обрамления",ISO 81346-2:2019,Вид метода,,,,,,,,
,,UNA,,рама,"объект, обрамляющий при помощи фиксированной рамы",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"дверная рама, оконная рама",,,,ЭЛ 30 16 55,,,
,,UNB,,порог,"объект, обрамляющий нижнюю часть, прилегающую к воротам, двери
-
Нижняя часть притвора дверного полотна или ворот.","ГОСТ Р 53307-2009
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,,,ЭЛ 30 19 26,,,
,,UNC,,подвижная рама,"объект, обрамляющий при помощи подвижной рамы",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,рама оконного стекла,,,,ЭЛ 30 16 55,,,
,,UND,,импост,"обрамляющий объект, разделяющий створку или дверь
-
Вертикальный или горизонтальный средний брусок коробки.","ГОСТ 26602.5-2001
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,горбылек,раскладка (штапик),,,ЭЛ 30 10 10 20,,,
,UP,,,соединяющий объект,объект для удержания при помощи нестатического соединения,ISO 81346-2:2019,Вид метода,,,,,,,,
,,UPA,,подшипник,"объект, соединяющий при помощи подшипника
-
Устройство, которое служит опорой для вращающегося вала и, если необходимо, ограничивает его аксиальное перемещение.",ГОСТ IEC 60050-411-2015,,"шарикоподшипник, роликовый подшипник, предмет скольжения",,,,,,,
,,UPB,,шарнир,"объект, соединяющий при помощи механического соединения",,,"упругое крепление, компенсационный шов, подвижное соединение",,,,,,,
,,UPC,,химическое соединение,"объект, соединяющий при помощи химической связи",,,"цемент, структурное соединение",,"IfcDiscreteAccessory, IfcFastener",,,,,
,UQ,,,объект крепления,объект для удержания при помощи статического соединения,"ISO 81346-2:2019
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Вид метода,,крепеж,,,ЭЛ 40 45,,,
,,UQA,,крепежное изделие неразборное,"неразборный объект крепления, устанавливаемый механическим способом",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"монтажный кронштейн, гвоздь, заклепка","заклепка
кабельная полка (кронштейн)",,,"ЭЛ 40 35 20 10
ЭЛ 40 45 10 10",,,
,,,UQA10,закладная деталь,"Металлические элементы (из круглой, полосовой, уголковой стали), устанавливаемые (закладываемые) в конструкции до бетонирования для соединений сваркой сборных и сборно-монолитных железобетонных конструкций между собой и с другими конструкциями зданий (сооружений)","ГОСТ 24155-2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,закладное изделие,IfcReinforcingElement,,ЭЛ 30 80 10,,,
,,UQB,,крепежное изделие разборное,"разборный объект крепления, устанавливаемый механическим способом",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"монтажный кронштейн, гайка, рельсовый крепеж, винт","болт
гайка",,,ЭЛ 40 45 10 10,,,
,,UQC,,химическая связь,объект крепления при помощи химической связи,,,сварной шов,сварной шов,,,,,,
,UT,,,выравнивающий объект,объект для удержания путем выравнивания,ISO 81346-2:2019,Вид метода,,,,,,,,
,,UTA,,заполнение,"выравнивающий объект, обеспечивающий определенную профилированную поверхность плоскости путем добавления материала",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,"цементно-песчаная стяжка
затирка
стяжка",,,"ЭЛ 20 30 46
ЭЛ 30 10 54",,,
,,UTB,,выемка,"выравнивающий объект, обеспечивающий определенную профилированную поверхность плоскости путем удаления материала",,,котлован,,"IfcSite, IfcDIstributionChamberElement",,,,,
,UU,,,существующий грунт,"объект для удержания при помощи существующего грунта (горная порода, почва, осадок и техногенные минеральные образования, рассматриваемые как многокомпонентные динамичные системы и часть геологической среды, изучаемые в связи с инженерно-хозяйственной деятельностью).",ISO 81346-2:2019,Вид материала,,,,,,,,
,,UUA,,скальный грунт,"существующий грунт, состоящий из каменистой породы",,,,,,,,,,
,,UUB,,песчаный грунт,"существующий грунт, состоящий из фрикционного грунта",,,,,,,,,,
,,UUC,,глинистый грунт,"существующий грунт, состоящий из связного грунта",,,,,,,,,,
,,UUD,,верхний слой грунта,"существующий грунт, состоящий из органического грунта",,,,,,,,,,
,,UUE,,грунт обратной засыпки,"существующий грунт, состоящий из заполняющего материала",,,,,,,,,,
,,UUF,,грунт дисперсный,"существующий грунт, в котором преобладают механические, физические и физико-химические структурные связи.",,,,,,,,,,
,,UUG,,грунт мерзлый,"существующий грунт, имеющий отрицательную или нулевую температуру, содержащий видимые ледяные включения и/или лед-цемент, за счет которых образованы криогенные структурные связи.",,,,,,,,,,
,,UUH,,грунт крупнообломочный,"существующий грунт, состоящий из несвязного минерального грунта",,,,,,,,,,
,,UUJ,,почва,"существующий грунт, в виде поверхностного слоя дисперсного грунта, обладающего плодородием.",,,,,,,,,,
W_,,,,направляющий объект,"объект, для проведения из одного места в другое",ISO 81346-2:2019,Вид потока и вид технологии,,,,,,,,
,WB,,,"объект, направляющий высоковольтную электрическую энергию","объект, направляющий высоковольтную электрическую энергию",ISO 81346-2:2019,Вид метода,,проводник,,,,,,
,,WBA,,высоковольтная шина,"объект, направляющий высоковольтную электрическую энергию при помощи системы шин",,,,,"IfcCableCarrierSegment, IfcCableSegment, IfcElectricDistributionBoard",,,,,
,,WBB,,высоковольтный кабель,"объект, направляющий высоковольтную электрическую энергию при помощи кабеля",,,,,"IfcCableCarrierSegment, IfcCableSegment, IfcElectricDistributionBoard",,,,,
,,WBC,,высоковольтный провод,"объект, направляющий высоковольтную электрическую энергию при помощи провода",,,,,"IfcCableCarrierSegment, IfcCableSegment, IfcElectricDistributionBoard",,,,,
,,WBD,,высоковольтный проходной изолятор,"объект, направляющий высоковольтную электрическую энергию через корпус, стену или барьер",,,,,,,,,,
,WD,,,"объект, направляющий низковольтную электрическую энергию","объект, направляющий низковольтную электрическую энергию",ISO 81346-2:2019,Вид метода,,проводник,,,,,,
,,WDA,,низковольтная шина,"объект, направляющий низковольтную электрическую энергию при помощи системы шин",,,,,"IfcCableCarrierSegment, IfcCableSegment, IfcElectricDistributionBoard",,,,,
,,WDB,,низковольтный кабель,"объект, направляющий низковольтную электрическую энергию при помощи кабеля",,,,,"IfcCableSegment, IfcElectricDistributionBoard",,,,,
,,WDC,,низковольтный провод,"объект, направляющий низковольтную электрическую энергию при помощи провода",,,,,"IfcCableCarrierSegment, IfcCableSegment, IfcElectricDistributionBoard",,,,,
,,WDD,,низковольтный проходной изолятор,"объект, направляющий низковольтную электрическую энергию через корпус, стену или барьер",,,,,,,,,,
,WE,,,"объект, направляющий опорный потенциал","объект, направляющий опорный потенциал",ISO 81346-2:2019,Вид метода,,проводник,,,,,,
,,WEA,,шина заземления,"объект, направляющий опорный потенциал на землю при помощи шины",,,,главный заземляющий зажим (шина),IfcCableSegment,,,,,
,,WEB,,кабель заземления,"объект, направляющий опорный потенциал на землю при помощи кабеля",,,,заземляющий проводник,IfcCableSegment,,,,,
,,WEC,,шина для выравнивания потенциалов,"объект, направляющий опорный потенциал при помощи шины",,,,,,,,,,
,,WED,,кабель для выравнивания потенциалов,"объект, направляющий опорный потенциал при помощи кабеля",,,,,,,,,,
,WG,,,объект для направления электрического сигнала,"объект, направляющий электрические сигналы",ISO 81346-2:2019,Вид назначения,,проводник,,,,,,
,,WGA,,управляющий кабель,"объект, направляющий электрические сигналы с целью контроля и измерения",,,,,,,,,,
,,WGB,,кабель данных,"объект, направляющий электрические сигналы с целью передачи данных",,,шина данных,,IfcCommunicationsAppliance,,,,,
,,WGC,,проходной изолятор электрического сигнала,"объект, направляющий электрические сигналы через корпус или стену",,,,,,,,,,
,WH,,,объект для направления света,"объект, направляющий свет",ISO 81346-2:2019,Вид потока,,,,,,,,
,,WHA,,волоконно-оптический кабель,"объект, направляющий свет для передачи сигнала",,,,,,,,,,
,,WHB,,оптоволокно,"объект, направляющий свет для передачи света",,,"оптический световод, оптический волновод",,,,,,,
,,WHC,,линза,"объект, направляющий свет для получения определенного преломления света",,,,,,,,,,
,,WHD,,зеркало,"объект, направляющий свет для получения определенного отражения света",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,отражатель света,,,,ЭЛ 40 60 10 14,,,
,WJ,,,объект для направления звука,"объект, направляющий звук",ISO 81346-2:2019,Вид метода,,,,,,,,
,,WJA,,звукоотражатель,"объект, направляющий звук при помощи отражения",,,,,,,,,,
,WL,,,объект для направления твердых веществ,"объект, направляющий твердое вещество в открытом корпусе",ISO 81346-2:2019,Вид метода,,,,,,,,
,,WLA,,рольганг,"объект, направляющий твердое вещество путем скатывания",,,,аппарель,,,,,,
,,WLB,,спускной желоб,"объект, направляющий твердое вещество путем скольжения",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"наклонная плоскость, трубчатый конвейер",,,,ЭЛ 40 10 20 10,,,
,WM,,,направляющий объект в открытом корпусе,"объект, направляющий поток жидкости в открытом корпусе",ISO 81346-2:2019,Вид метода,,,,,,,,
,,WMA,,дренажный слой,направляющий объект в открытом корпусе в виде слоя,,,"фильтрующий слой, слой насыщения воздухом",дополнительный слой основания,,,,,,
,,WMB,,водосточный желоб,"объект в открытом корпусе, направляющий жидкости в открытом канале",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"водосточный желоб, водосточный карнизный желоб, уличный водосток","водоотводный лоток
водосборный лоток
желоб","IfcPipeSegment, IfcSanitaryTerminal",,ЭЛ 40 40 10 10,,,
,,WMC,,дренажный отлив,"объект в открытом корпусе, направляющий жидкости по открытой поверхности",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,,,ЭЛ 30 19 40,,,
,,WMD,,отлив,"объект в открытом корпусе, направляющий жидкости по выступу",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,отлив,,,ЭЛ 30 19 40,,,
,,WME,,водослив,"объект в открытом корпусе, направляющий жидкости по профилю слива жидкости",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,"водослив
водосточная воронка",,,"ЭЛ 40 40 20 50
ЭЛ 40 40 20 60",,,
,,WMF,,водосточная труба,"объект в открытом корпусе, направляющий при использовании перфорированной трубы",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"фильтрующая труба, труба насыщения воздухом",,"IfcPipeSegment, IfcPipeFitting",,ЭЛ 40 40 10 20,,,
,,WMG,,инфильтрационная камера,направляющий объект в открытом корпусе в камере,,,"колодец насыщения воздухом, радоновый колодец",,,,,,,
,WP,,,направляющий объект в закрытом корпусе,"объект, направляющий поток вещества в закрытом корпусе",ISO 81346-2:2019,Вид применяемой формы,,,,,,,,
,,WPA,,труба,направляющий объект в закрытом корпусе в виде жесткой конструкции с круглым сечением,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,"водопропускная труба
вытяжная часть канализационного стояка
дефлектор
дымовая труба
каналообразователь
колонна водозаборная
отвод
труба","IfcPipeSegment, IfcPipeFitting, IfcHeatExchanger, IfcFlowTerminal, IfcFlowSegment",,"ЭЛ 40 15 10
ЭЛ 40 15 20 35
ЭЛ 40 20 20 16
ЭЛ 40 20 40 18",,,
,,WPB,,канал,направляющий объект в закрытом корпусе в виде жесткой конструкции с некруглым сечением,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,дымоход,"вентиляционный блок
дрена
дымоотвод
дымоход",IfcDuctSegment,,"ЭЛ 30 16 78
ЭЛ 30 25 50",,,
,,WPC,,шланг,направляющий объект в закрытом корпусе в виде гибкой конструкции,,,,,"IfcPipeFitting, IfcPipeSegment, IfcFireSuppressionTerminal",,,,,
,WQ,,,"объект, направляющий механическую энергию","объект, направляющий механическую энергию",ISO 81346-2:2019,Вид метода,,,,,,,,
,,WQA,,ведущий мост,"объект, направляющий механическую энергию при помощи вала",,,ось,,,,,,,
,,WQB,,приводной ремень,"объект, направляющий механическую энергию при помощи ремня",,,"подвижная линия, клиновой ремень",,,,,,,
,,WQC,,приводная цепь,"объект, направляющий механическую энергию при помощи цепи",,,цепь,,,,,,,
,,WQD,,приводной рычаг,"объект, направляющий механическую энергию при помощи звеньев",,,,,,,,,,
,,WQE,,колесо,"объект, направляющий механическую энергию при помощи колеса",,,зубчатое колесо,,,,,,,
,,WQF,,зубчатая рейка,"объект, направляющий механическую энергию при помощи зубчатой рейки",,,,,,,,,,
,,WQG,,гидравлический шланг,"объект, направляющий механическую энергию при помощи жидкости",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"гидравлическая труба, пневматический шланг, пневматическая труба",,,,ЭЛ 40 15 10 10,,,
,WR,,,рельсовый объект,"объект, направляющий объекты, связанные с железной дорогой",ISO 81346-2:2019,Вид метода,,,,,,,,
,,WRA,,путь,"рельсовый объект, обеспечивающий направленный путь",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,железнодорожный путь,рельс,,,ЭЛ 30 16 61,,,
,,WRB,,пересечение путей,"рельсовый объект, обеспечивающий переезд",,,,,,,,,,
,WV,,,"объект, направляющий тепловую энергию","объект, направляющий тепловую энергию","ISO 81346-2:2019
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Вид метода,,,,,ЭЛ 40 15 37,,,
,,WVA,,проводник тепла,"объект, направляющий тепловую энергию твердого вещества",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,радиатор,,,,ЭЛ 40 25 10 30,,,
,,WVB,,термопаста,"объект, направляющий тепловую энергию при помощи статичной жидкости",,,,,,,,,,
,WZ,,,"объект, направляющий несколько видов потоков",направляющий объект с несколькими видами потоков,ISO 81346-2:2019,Вид метода,,,,,,,,
,,WZA,,шлангокабель,"объект, направляющий несколько видов потоков электрической энергии, механической энергии, электрического сигнала, оптических сигналов и/или жидкости",,,,,,,,,,
X_,,,,объект сопряжения,"объект, предназначенный для сопряжения объектов",ISO 81346-2:2019,Вид потока объектов и вид метода,,,,,,,,
,XB,,,высоковольтный соединительный объект,объект сопряжения для сетей высоковольтной электроэнергии,ISO 81346-2:2019,Вид метода,,,,,,,,
,,XBA,,высоковольтная клемма,высоковольтный соединительный объект для одиночного соединения,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"зажим, кабельная головка, высоковольтный
кабельный соединитель, распределительная коробка",,,,"ЭЛ 40 35 15 55
ЭЛ 40 50 20 50",,,
,,XBB,,розетка высокого напряжения,высоковольтный соединительный объект для подключаемых соединений,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,высоковольтный соединитель,,,,"ЭЛ 40 35 15 55
ЭЛ 40 50 20 10",,,
,,XBC,,распределительная коробка высокого напряжения,высоковольтный соединительный объект для нескольких фиксированных соединений,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,,,ЭЛ 40 50 20 50,,,
,XD,,,низковольтный соединительный объект,объект сопряжения для сетей низковольтной электроэнергии,ISO 81346-2:2019,Вид метода,,,,,,,,
,,XDA,,электрическая клемма,низковольтный соединительный объект для одиночного соединения,,,"кабельное соединение низкого напряжения, клемма низкого напряжения",,,,,,,
,,XDB,,розетка низкого напряжения,низковольтный соединительный объект для подключаемых соединений,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"вилка низкого напряжения, вилка, розетка",,,,ЭЛ 40 50 20 10,,,
,,XDC,,распределительная коробка,низковольтный соединительный объект для нескольких фиксированных соединений,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcJunctionBox,,ЭЛ 40 50 20 50,,,
,,XDD,,штепсельная розетка,низковольтный соединительный объект для стационарного подключения гибкого кабеля к приемнику электроэнергии,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,"IfcOutlet, IfcJunctionBox",,ЭЛ 40 50 20 10,,,
,,XDE,,распределитель мощности,низковольтный соединительный объект из нескольких подключаемых приемников электроэнергии,,,,,,,,,,
,XE,,,"объект, соединяющий потенциалы",объект сопряжения для заземления или опорного потенциала,ISO 81346-2:2019,Вид потенциала и метод,,,,,,,,
,,XEA,,клемма защитного заземления (PE),"объект, соединяющий потенциалы для подключения к проводникам защитного заземления",,,"клемма защитного провода, клемма защитного заземления",,,,,,,
,,XEB,,клемма защитного соединения (PB),"объект, соединяющий потенциалы для подключения к проводникам защитного соединения",,,клемма защитного соединения,,,,,,,
,,XEC,,клемма рабочего заземления,"объект, соединяющий потенциалы для подключения к проводам рабочего заземления",,,клемма рабочего заземления,,,,,,,
,,XED,,клемма рабочего соединения,"объект, соединяющий потенциалы для подключения к проводникам рабочего соединения",,,клемма рабочего соединения,,,,,,,
,,XEE,,заземляющий электрод,"объект, соединяющий потенциалы, обеспечивающий электрический контакт с заземлением",,,,,,,,,,
,,XEF,,токоприемник,"объект, соединяющий потенциалы молнии и электрической цепи",,,,,,,,,,
,XG,,,объект для соединения электрического сигнала,объект сопряжения для электрических сигналов,ISO 81346-2:2019,Вид метода,,,,,,,,
,,XGA,,сигнальная розетка,"объект, соединяющий электрические сигналы для одиночных подключаемых соединений",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,,,ЭЛ 40 50 20 10,,,
,,XGB,,клемма,"объект, соединяющий электрические сигналы для одиночных соединений",,,,,,,,,,
,,XGC,,коммутационная панель,"объект, соединяющий электрические сигналы по нескольким линиям",,,,,,,,,,
,,XGD,,распределитель сигналов,"объект, соединяющий электрические сигналы для нескольких подключаемых соединений",,,концентратор,,"IfcCommunicationsAppliance, IfcSwitchingDevice",,,,,
,XH,,,"объект, соединяющий оптико-волоконный сигнал",объект сопряжения оптических волокон,ISO 81346-2:2019,Вид метода,,,,,,,,
,,XHA,,фиксированная розетка для оптоволокна,"объект, соединяющий свет для подключаемых соединений",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"волоконно-оптический штекер, волоконно-оптический разъем",,,,ЭЛ 40 50 20 10,,,
,XK,,,объект для сбора,"объект сопряжения, собирающий вещество для передачи в поток",ISO 81346-2:2019,Вид собранного объекта,,,,,,,,
,,XKA,,раковина,объект для сбора сточных вод,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,санитарно-технический прибор,IfcSanitaryTerminal,,ЭЛ 40 50 40 50,,,
,,XKB,,унитаз,объект для сбора фекалий и мочи,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,туалет,санитарно-технический прибор,IfcSanitaryTerminal,,ЭЛ 40 50 40 70,,,
,,XKC,,писсуар,объект для сбора только мочи,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,санитарно-технический прибор,IfcSanitaryTerminal,,ЭЛ 40 50 40 35,,,
,,XKD,,маслосборник,объект для сбора излишней жидкости из технической системы,,,,,IfcSanitaryTerminal,,,,,
,,XKE,,сточный колодец,объект для сбора излишков жидкости,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,"водосборный колодец
дождеприемник
ливнесточный колодец","IfcWasteTerminal, IfcFlowTerminal",,ЭЛ 20 30 14,,,
,XM,,,"объект, соединяющий герметичный поток",объект сопряжения для герметичного потока вещества,ISO 81346-2:2019,Вид метода,,,,,,,,
,,XMA,,фланец трубы,"объект, соединяющий герметичный поток при помощи реверсивной конструкции",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"камера, соединитель пожарного рукава, соединитель шланга, фланец шланга, соединитель трубы, фланец трубы",фланец,,,ЭЛ 40 15 20 60,,,
,,XMB,,фитинг трубы,"объект, соединяющий герметичный поток при помощи нереверсивной конструкции",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"вклеенный фитинг, фитинг для шланга, фитинг для трубы, прессовая посадка, фитинг для пайки",фитинг,IfcPipeFitting,,ЭЛ 40 15 20,,,
,XN,,,неразъемное соединение,объект сопряжения для непрерываемой передачи механической силы,ISO 81346-2:2019,Вид метода,,,,,,,,
,,XNA,,фланцевая муфта,неразъемное соединение валов при помощи пары фланцев,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,,,ЭЛ 40 15 20 30,,,
,,XNB,,разъемная муфта,неразъемное соединение валов при помощи разрезной втулки,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"втулочная муфта, патронная муфта",,,,ЭЛ 40 15 20 30,,,
,,XNC,,муфта с V-образными зубьями,"неразъемное соединение между параллельными валами и канавками, попадающими в зацепление",Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,зацепление с V-образными зубьями,,,,ЭЛ 40 15 20 30,,,
,,XND,,карданный шарнир,неразъемное соединение для передачи мощности смещенных валов,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"гибкая муфта,
карданное соединение, шарнир Гука, переходник универсального сочленения, универсальная
муфта",,,,"ЭЛ 40 15 20 30
ЭЛ 40 15 20 40
ЭЛ 40 20 20 18",,,
,,XNE,,винтовая сцепка,неразъемное соединение для захвата и соединения двух движущихся объектов,,,,,,,,,,
,,XNF,,шарнирно-рычажная сцепка,неразъемное соединение для закрепления двух движущихся объектов,,,,,,,,,,
,XP,,,разъемное соединение,объект сопряжения для прерываемой передачи механической силы,ISO 81346-2:2019,Вид метода,,,,,,,,
,,XPA,,фрикционная муфта,разъемное соединение для передачи энергии посредством сил трения,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,"центробежная муфта, гидравлическая муфта",,,,ЭЛ 40 15 20 30,,,
,,XPB,,гидравлическое сцепление,разъемное соединение для передачи энергии при помощи гидродинамического эффекта,,,,,,,,,,
,,XPC,,муфта свободного хода,разъемное соединение для передачи энергии при помощи блокировки,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,муфта свободного хода,,,,ЭЛ 40 15 20 30,,,
