Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примеры,Примечания,Синонимы
,,FDB,,Железнодорожный путь,"Подсистема инфраструктуры железнодорожного транспорта, включающая в себя верхнее строение пути, земляное полотно, водоотводные, водопропускные, противодеформационные, защитные и укрепительные сооружения земляного полотна, расположенные в полосе отвода, а также искусственные сооружения",ГОСТ 34530-2019,,,AAJ.09,,,
,,,FDB010,Блок-участок,"Часть железнодорожного перегона, оборудованного автоматической блокировкой или автоматической локомотивной сигнализацией, применяемой как самостоятельное средство сигнализации и связи, которая может быть ограничена проходными светофорами или проходным светофором и входным светофором железнодорожной станции, или выходным светофором и первым попутным светофором",ГОСТ 34530-2019   ,,,AAJ.04,,,
,,,FDB020,Секция маршрута,"Путевой участок с индивидуальным контролем занятости и замыкания, используемый как составная часть маршрута",ГОСТ 34530-2019   ,,,AAP.03,,,
,,,FDB030,Железнодорожный пешеходный переход,"Пересечение на одном уровне железнодорожных путей и пешеходной дорожки, оборудованное устройствами, обеспечивающими безопасные условия перехода",ГОСТ 34530-2019,,,ABC.01,,,
,,,FDB040,Обгонный пункт,Зона железнодорожного раздельного пункта на двухпутных железнодорожных линиях,ГОСТ 34530-2019   ,,,AAJ.01,,,
,,,FDB050,Зона остановочного пассажирского железнодорожного пункта,"Зона пункта на железнодорожном перегоне, не имеющий путевого развития",ГОСТ 34530-2019   ,,,,,,
,,,FDB060,Перегон,"Часть железнодорожной линии, ограниченная смежными железнодорожными станциями, разъездами, обгонными пунктами или путевыми постами","ТР ТС 003/2011
ГОСТ 34530-2019",,,"AAJ.02
BE",,,
,,,FDB070,Земляное полотно,"Зона инженерных грунтовых сооружений в виде насыпей, выемок, нулевых мест, полунасыпей, полувыемок и полунасыпей-полувыемок, служащих основанием для верхнего строения железнодорожного пути и воспринимающих нагрузку от верхнего строения пути и железнодорожного подвижного состава",ГОСТ 34530-2019,,,AAB,,,
,,,FDB080,Зона водоотводных сооружений земляного полотна,"Зона сооружений в земляном полотне открытого или закрытого типа, предназначенных для защиты от размыва или переувлажнения, сбора атмосферных, поверхностных и грунтовых вод и отвода их от земляного полотна",ГОСТ 34530-2019,,,AAC,,,
,,,FDB090,Зона защитных сооружений земляного полотна,"Зона постоянных или временных поверхностных или заглубленных сооружений земляного полотна, предназначенных для защиты от неблагоприятных природных воздействий на конструкции железнодорожного пути",ГОСТ 34530-2019,,,AAD,,,
,,,FDB100,Зона укрепительных сооружений земляного полотна,"Зона покрытия откосов насыпей, выемок, конусов мостов, кюветов, канав, дна водоотводных сооружений и русел вблизи и в составе малых искусственных сооружений, предназначенного для предотвращения повреждений земляного полотна",ГОСТ 34530-2019,,,AAE,,,
F,FD,,FDB110,Зона искусственных сооружений ,"Зона сооружений, возводимых на пересечениях железной дороги с водными преградами, другими железными дорогами, автомобильными дорогами, глубокими ущельями, горными хребтами, застроенными городскими территориями, а также возводимых для обеспечения перехода людей и животных через железнодорожные пути и обеспечения устойчивости земляного полотна в сложных инженерно-геологических условиях и условиях рельефа местности",ГОСТ 34530-2019,,,AAF,,,
,,FDC,,Железнодорожный переезд,"Пересечение в одном уровне автомобильной дороги с железнодорожными путями, оборудованное устройствами, обеспечивающими безопасные условия пропуска подвижного состава железнодорожного транспорта и транспортных средств",ГОСТ 34530-2019   ,,,ABB,,,
,,FDD,,Разъезд,"Раздельный пункт на однопутных линиях, основным назначением которого являются скрещение и обгон поездов",ГОСТ 34530-2019   ,,,,,,
,FE,,,Пространство движения судов,"Пространство, предназначенное для перемещения водного транспорта",IEC 81346-2:2019,По функциональному назначению,,,,Определение синтезировано,
,,FEA,,Зона канала с фарватером,"Водовод, построенный, как правило, для навигации, но который также может использоваться для получения гидроэнергии, ирригации, сбора ливневых стоков или водоотведения поверхностных вод",ГОСТ Р ИСО 6707-1-2020,,,,,Определение синтезировано,
,,FEB,,Зона шлюза,"Шлюз - гидротехническое сооружение между водоемами с различными уровнями воды, позволяющее переводить суда из одного водоема в другой.",ГОСТ Р 57617-2017,,,,,,
,,FEC,,Стоянка-убежище,"Акватория, защищенная естественными или искусственными ограждениями, используемая малыми судами с целью укрытия от неблагоприятных природных и техногенных явлений",ГОСТ Р 57617-2017,,,,,,
,,,FEC010,Гавань,"Естественно или искусственно защищенная от ветра, волн и течений прибрежная часть водного пространства для стоянки, ремонта и зимовки судов",Большой Энциклопедический словарь. 2000,,,,Бухта,,
,,,FEC020,Причал,"Место швартовки судов, как правило, для загрузки и отгрузки груза или посадки/высадки пассажиров",ГОСТ Р ИСО 6707-1-2020,,,,,,
,,,FEC030,Док,Часть порта для отстоя судов,ГОСТ Р ИСО 6707-1-2020,,,,,,
,,,FEC040,Временный причал,"Причал, предназначенный для перегрузки массовых грузов и конструкций и перевозки людей на время строительства моста",ВСН 136-78/Минтрансстрой,,,,,Определение синтезировано,
,FF,,,Пространство для управления движением,"Пространство, предназначенное для упорядочивания движения транспортных средств",ГОСТ Р 56829-2015,По функциональному назначению,,,,,
,,FFA,,Разделительная полоса,"Конструктивный элемент автомобильной дороги, разделяющий транспортные потоки по направлениям или составу движения","ГОСТ 33475-2015
ГОСТ Р ИСО 6707-1-2020",,,,,,
,,FFB,,Пространство платформы,"Пространство на станциях или остановочных пунктах для удобного и безопасного прохода, накопления, а также посадки пассажиров в вагоны и их высадки",ГОСТ 24155-2016,,,,,,
,,,FFB010,Перрон,"Пространство, предназначенное для посадки и высадки пассажиров, стоянки и маневров соответствующих транспортных средств, а также погрузки или разгрузки багажа, почты и т.п.",МДС 32-1.2000,,,,,,
,,FFC,,Пространство для размещения информации о движении,"Пространство, предназначенное для размещение информационных источников о движении транспорта и потоков людей",IEC 81346-2:2019,,,,,Определение синтезировано,
,,FFD,,Пространство для движения на прилегающей территории,"Пространство, прилегающее непосредственно к проезжей части дороги, не предназначенное для сквозного проезда транспортных средств",ГОСТ 32945-2014,,,,,,
,,,FFD010,Временная дорога,"Дороги, прокладываемые на строительной площадке для временных нужд",СП 325.1325800.2017,,,BF,,,
,,,FFD020,Подъезд к зданию,Автомобильный или пешеходный путь общественного или частного доступа внутрь,ГОСТ Р ИСО 6707-1-2020,,,,,,
,,,FFD030,Зона съезда,Установленное место выезда с дороги,ГОСТ Р ИСО 6707-1-2020,,,,,,
,,,FFD040,Аварийный съезд,"Часть земельного участка, примыкающая к дороге, с покрытием из специального материала, которая предназначена для замедления и остановки потерявшего управление автомобиля, обычно располагаемая на длинном наклонном участке дороги",ГОСТ Р ИСО 6707-1-2020,,,,,,
,,,FFD050,Рабочий мостик,"Мост или эстакада, которые служат для пропуска и работы транспортных средств, строительных и грузоподъемных машин",ВСН 136-78/Минтрансстрой,,,,,Определение синтезировано,
,,,FFD060,Искусственныей островок,"Стационарное сооружение для погружения опускных колодцев и кессонов, размещения бурового и сваебойного оборудования",ВСН 136-78/Минтрансстрой,,,,,Определение синтезировано,
,,,FFD070,Временный мост,"Мост, предназначенный для ограниченного срока службы (до 5 лет)",ОДМ 218.2.029-2013,,,,,,
,,,FFD080,Автодорожный разборный мост,"Специальное мостовое имущество многократного использования, предназначенное для строительства и восстановления искусственных сооружений на военно-автомобильных дорогах",ОДМ 218.2.029-2013,,,,,,
,,FFE,,Зона ограничения движения,"Пространство, являющееся частью дороги, не предназначенное для движения транспортных средств",IEC 81346-2:2019,,,,,,
,FG,,,Территория внеуличного транспорта,Пространство для размещения внеуличного транспорта,,,,,,Определение синтезировано,
,,FGA,,Техническая зона для эксплуатации метрополитена,"Свободный участок городской территории, непосредственно примыкающий к объекту метрополитена и используемый для обеспечения нормального функционирования объекта (входа и выхода пассажиров, размещения ремонтных машин, оборудования и материалов в период ремонтных работ)",СП 120.13330.2012,,,,,,
,,FGB,,Охранная зона метрополитена,"Участок городской территории, расположенный над действующим подземным сооружением метрополитена и в непосредственной близости от него, возможность использования которого для нового строительства, прокладки дорог, коммуникаций, бурения скважин и т.п. должна согласовываться с администрацией метрополитена",СТО НОСТРОЙ 2.27.17-2011,,,,,,
,,FGC,,Зона монорельсового транспорта,"Участок городской территории, расположенный под действующим сооружением монорельсового транспорта и в непосредственной близости от него",,,,,,Определение синтезировано,
,,FGD,,Зона канатной дороги,"Участок городской территории, расположенный под действующим сооружением канатной дороги и в непосредственной близости от него",,,,,,Определение синтезировано,
,,FGE,,Зона транспортного фуникулера,"Участок городской территории, расположенный под действующим сооружением транспортного фуникулера и в непосредственной близости от него",,,,,,Определение синтезировано,
P,,,,Пространство для физических процессов,"Пространство, в котором происходит распространение вещества того или иного агрегатного состояния",IEC 81346-2:2019,По функциональному назначению,,,,Определение синтезировано,
,PA,,,Пространство для распространения вещества,"Пространство, в котором происходит распространение вещества того или иного агрегатного состояния",IEC 81346-2:2019,По функциональному назначению,,,,Определение синтезировано,
,,PAA,,Пространство распространения обломков,"Пространство, в котором происходит распространение объектов в среде",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,PAA010,Зона разлета осколков при сносе здания,Зона разлета осколков при сносе здания,СП 325.1325800.2017,,,,,Определение синтезировано,
,,,PAA020,"Зона, опасная по разлету отдельных кусков породы","Зона, опасная по разлету отдельных кусков породы",ВНТП 4-92,,,,"Опасная зона при срубке голов свай
Зона вблизи размещения копра
Зона возможного отлета перемещаемого (падающего) предмета",Определение синтезировано,
,,,PAA030,"Зона, опасная по действию ударных воздушных волн","Зона, опасная по действию ударных воздушных волн при сносе здания",СП 325.1325800.2017,,,,,Определение синтезировано,
,,PAB,,Пространство для распространения твердых материалов,"Пространство, в котором происходит распространение твердых материалов в среде",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,PAB010,Опасные зоны отвалов породы угольных и сланцевых шахт,Опасные зоны отвалов породы угольных и сланцевых шахт или обогатительных фабрик,ВНТП 4-92,,,,,,
,,,PAB020,Опасные зоны отвалов породы обогатительных фабрик,Опасные зоны отвалов породы обогатительных фабрик,,,,,,,
,,PAC,,Пространство для потока газа,"Пространство, в котором происходит распространение потока газа",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,PAC010,Опасная зона выхлопа коммутационного аппарата,"Область, в которой выходящие из аппарата газы, жидкости или твердые частицы могут вызвать опасные явления: пробой изоляционных промежутков, воспламенение материалов и ожог тела",ГОСТ 17703-72,,,,,,
,,,PAC020,Пространство теплого чердака,"Пространство между утепленными конструкциями кровли, наружными стенами и перекрытием верхнего этажа, обогрев которого осуществляется теплом воздуха, удаляемого из помещений здания посредством вытяжной вентиляции",СТО СРО НП СПАС-05-2013 ,,,,,,
,,,PAC030,Зона распространения выхлопных газов от дизель-генератора,Зона распространения выхлопных газов от дизель-генератора,СП 263.1325800.2016,,,,,,
,,PAD,,Пространство распространения жидкости,"Пространство, в котором происходит распространение жидкости в среде",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,PAD010,Пространство для сбора и возврата конденсата,Пространство для сбора и возврата конденсата,IEC 81346-2:2019,,,,,Определение синтезировано,
,,,PAD020,Зона затопления,"Территория, покрываемая водой в результате превышения притока воды по сравнению с пропускной способностью русла",ГОСТ 22.0.03-97,,,,,,
,,,PAD030,Зона катастрофического затопления,Зона возможного катастрофического затопления в результате разрушения плотин или дамб,СП 18.13330.2019,,,,,,
,,PAE,,Пространство распространения плазмы,"Пространство, в котором происходит распространение ионизированного газа",IEC 81346-2:2019,,,,,Определение синтезировано,
,,PAF,,Пространство распространения дыма,"Пространство, в котором происходит распространение дымовых газов",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,PAF010,Дымовая зона,"Часть помещения общей площадью не более 3000 м, из которой удаляются продукты горения (дым), обеспечивая эвакуацию людей из горящего помещения",СП 60.13330.2020,,,,,,
,,,PAF020,Каминная ниша,"Пространство, образованное в стене или каминном выступе для разведения открытого огня или размещения отопительного прибора и подводящее к дымоходу",ГОСТ Р ИСО 6707-1-2020,,,,,,
,PB,,,Пространство для потока энергии,"Пространство, в котором происходит распространение потока энергии из единичного процесса или системы жизненного цикла продукции",ГОСТ Р ИСО 14044-2019,По функциональному назначению,,,,,
,,PBA,,Пространство распространения электрической энергии,"Пространство, в котором происходит распространение энергии электрического поля",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,PBA010,Зона молниезащиты,"Зона, в которой устанавливается электромагнитная защита от грозовых разрядов",ГОСТ Р 54418.24-2013,,,,,,
,,,PBA020,Зона защиты от прямых ударов молнии,"Область пространства, отличающаяся тем, что вероятность удара молнии в объект, целиком размещенный в объеме этой области, не превышает заданной величины",ГОСТ Р 58232-2018,,,,,,
,,PBB,,Пространство распространения тепловой энергии,"Пространство, в котором происходит распространение тепловой энергии",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,PBB010,Зона термического влияния,"Участок основного металла, не подвергающийся расплавлению, структура которого изменилась в результате нагрева при сварке плавлением или резке",Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР),,,,,,
,,,PBB020,Зона годовых колебаний температур грунта,"Верхняя область земной коры между поверхностью земли и нейтральным слоем температур, в котором температура грунта близка к средней годовой температуре воздуха за многолетний период в данной местности",Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР),,,,,,
,,,PBB030,Зона температурного влияния теплопроводов,Зона температурного влияния теплопроводов,СП 18.13330.2019,,,,,Определение синтезировано,
,,,PBB040,Зона теплового потока,Зона теплового потока,,,,,,Определение синтезировано,
,,PBC,,Пространство распространения механической энергии,"Пространство, в котором происходит распространение механической энергии",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,PBC010,Зона воздействия взрыва (зона поражения или разрушения),"Зона территориального распределения поражающего фактора взрыва вокруг места возникновения аварии, ограниченная изолинией установленного порогового значения избыточного давления, импульса, условной вероятности разрушения здания или иного параметра взрыва","Руководство по безопасности ""Методы обоснования взрывоустойчивости зданий и сооружений при взрывах топливно-воздушных смесей на опасных производственных объектах""",,,,,,
,,,PBC020,Зона удара,Опасная зона вблизи движущихся частей машин и оборудования,IEC 81346-2:2019,,,,,Определение синтезировано,
,,,PBC030,Зона влияния линии метрополитена,"Зона, за пределами которой вибрация от метрополитена не выделяется над уровнем фоновой вибрации",СП 465.1325800.2019,,,,,,
,,,PBC040,Зона возможного перемещения груза,"Граница зоны обслуживания грузоподъемным краном, определяющаяся максимальным вылетом на стоянке (участке между крайними стоянками) крана",Р-ССК-05-2016,,,,,,
,,PBD,,Пространство распространения взрыва,"Пространство, в котором происходит высокоскоростное распространение взрывной волны",IEC 81346-2:2019,,,,,Определение синтезировано,
,,,PBD010,Взрывоопасная зона,"Зона, в которой присутствует или может образоваться взрывоопасная среда в объеме, требующем специальных мер защиты при конструировании, монтаже и эксплуатации оборудования",ГОСТ 31610.0-2019,,,,,,
,,,PBD020,Зона распространения ударной волны,Зона распространения ударной волны,СП 93.13330.2016,,,,,,
,,,PBD030,Взрывоопасная зона (для взрывоопасной газовой среды),"Часть замкнутого или открытого пространства, в котором присутствует или может образоваться взрывоопасная газовая смесь в объеме, требующем специальных мер защиты при конструировании, изготовлении и эксплуатации оборудования",ГОСТ IEC 60079-10-1-2013 ,,,,,,
,,,PBD040,Взрывобезопасная зона (для взрывоопасной газовой среды),"Часть замкнутого или открытого пространства, в котором отсутствует взрывоопасная среда в объеме, требующем специальных мер защиты при конструировании, изготовлении, монтаже и эксплуатации оборудования",ГОСТ IEC 60079-10-1-2013 ,,,,,,
,,PBE,,Зона распространения пожара,"Пространство, в котором возможен процесс горения и распространения огня",ГОСТ 31610.0-2019,,,,,Определение синтезировано,
,,,PBE010,Зона опасная по горючим газам и парам,"Зона, в которой взрывоопасная среда в виде смеси с воздухом горючих газов, паров или туманов присутствует постоянно или в течение длительных периодов времени, или часто",ГОСТ 31438.1-2011,,,,,,
,,,PBE020,Зона факельного сжигания,"Факельное сжигание - процесс сжигания газообразного, жидкого или пылевидного топлива, организованный так, чтобы горение происходило только в объеме топки",СТО 17330282.27.010.001-2008,,,,,,
,,,PBE030,Пожарный отсек,"Часть здания, сооружения и строения, выделенная противопожарными стенами и противопожарными перекрытиями или покрытиями, с пределами огнестойкости конструкции, обеспечивающими нераспространение пожара за границы пожарного отсека в течение всей продолжительности пожара","СП 158.13330.2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 04,,Пожарный отсек,,
,,,PBE040,Пожарная секция,"Часть пожарного отсека, выделенная противопожарными преградами в соответствии с требованиями нормативных документов по пожарной безопасности","СП 2.13130.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 05,,Пожарная секция,,
,,,PBE050,Зона горения,"Часть пространства, в котором расположены горючие материалы и вещества и где происходит их непосредственное горение",СП 329.1325800.2017,,,,,,
Q,,,,Пространство с неустановленным функциональным назначением,"Пространство, предназначенное для размещения помещений с различным назначением",,По виду пространства,,,,,
,QA,,,Нежилое помещение с гибким функциональным назначением,"Группа общественных помещений в структуре здания без предварительно установленного функционального деления, для которых предусмотрена возможность переустройства и переоборудования под предприятия и организации различного назначения и площади без изменения несущих конструкций, в том числе с возможностью автономной эксплуатации отдельных ее помещений.",СП 118.13330.2022,,ПЗ 31,,,,
,,QAA,,Помещения без конкретного функционального назначения (БКФН),,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 31 09,,,,
,,,QAA010,Без конкретного функционального назначения (БКФН),Помещение не имеющее конкретного функционального назначения,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 31 09 01,,,,Помещение свободного назначения
,,,QAA020,Без конкретной технологии (БКТ),Помещение не имеющее конкретных технологических решений,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,ПЗ 31 09 02,,,,Помещение свободного назначения
,QB,,,Помещение универсальное,"Помещение, в котором благодаря организационным мероприятиям, а также сменяемому или трансформируемому оборудованию возможна организация различных видов деятельности","СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 31,,Общественная зона,,
,,,QB010,Универсальный (многофункциональный) спортивный зал,"Помещение спортивного зала, в котором благодаря организационным мероприятиям, а также сменяемому или трансформируемому оборудованию возможна организация различных видов деятельности","СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 32 14 04,,,Определение синтезировано,Спортивный зал
R,,,,Территориальные зоны,"Зоны, для которых в правилах землепользования и застройки определены границы и установлены градостроительные регламенты",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,По типу зоны,,,,,
,RA,,,Жилая зона,"Пространство, предназначенное для застройки объектами, для которых не требуется установление санитарно-защитных зон и деятельность которых не оказывает вредное воздействие на окружающую среду",ТСН 11-301-2005,По функциональному назначению,,,,,
,,RAA,,Зона многоквартирной застройки,"Пространство, предназначенное для застройки многоквартирными домами",,,,,,Определение синтезировано,
,,RAB,,Зона застройки домами малой и средней этажности,"Пространство, предназначенное для застройки домами малой и средней этажности",,,,,,Определение синтезировано,
,,RAC,,Зона застройки блокированными домами,"Пространство, предназначенное для застройки двумя и более пристроенными друг к другу домами, каждый из которых имеет непосредственный выход на отдельный приквартирный участок",СП 55.13330.2016,,,,,,
,,RAD,,Зона застройки индивидуальными жилыми домами с приусадебными земельными участками,"Пространство, предназначенное для застройки одноквартирными индивидуальными домами, обычно двухэтажными, у которых имеется небольшой участок земли","Методическое пособие. Термины и определения в нормативных технических документах по проектированию жилых, общественных и производственных зданий",,,,,,
,,RAE,,"Зона (территория) садоводческих, дачных и огороднических кооперативов","Пространство для ведения садоводства, огородничества и отдыха в индивидуальном (семейном) порядке, с сооружениями и строениями как сезонного, так и круглогодичного использования",СП 53.13330.2019,,,,,,
,RB,,,Общественно-деловая зона,"Пространство, предназначенное для размещения объектов, связанных с обеспечением жизнедеятельности граждан",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,По функциональному назначению,"НД 09
НД 09 01
НД 09 05",,,,"Деятельность по трудоустройству и подбору персонала
Назначение административных и офисных помещений и зон
Офисная деятельность"
,,RBA,,Зона объекта здравоохранения,"Пространство, предназначенное для застройки крупными оздоровительными объектами здравоохранения, объектами с совмещением функций проживания, лечения и обучения, а также объектами инженерной инфраструктуры, обслуживающими зону",,,,,,Определение синтезировано,
,,RBB,,Зона объекта социального назначения,"Пространство, предназначенное для застройки и эксплуатации объектов, связанных с обеспечением жизнедеятельности и обслуживанием населения",СП 136.13330.2012,,"НД 05 02
НД 05 02 01
НД 05 02 02
НД 05 02 03
НД 05 02 04
НД 05 02 05
НД 05 02 06
",,,,"Предоставление государственных и муниципальных услуг,
Почта,
Служба бесплатной юридической помощи,
Служба занятости населения,
Служба психологической помощи,
Телеграф,
Социальное обслуживание
"
,,RBC,,Зона объекта культуры и искусства,"Пространство, на котором располагаются объекты культуры и искусства",,,,,,Определение синтезировано,
,,RBD,,Зона объекта торговли,"Пространство, предназначенное для застройки и эксплуатации объектов торговли",,,,,,Определение синтезировано,
,,RBE,,Зона объекта общественного питания,"Пространство, предназначенное для оказания услуг общественного питания",,,,,,Определение синтезировано,
,,RBF,,Зона объекта бытового обслуживания,"Пространство, предназначенное для оказания бытовых услуг, пользующееся периодическим спросом населения",СП 450.1325800.2019,,"НД 05
НД 05 01
НД 05 01 32
НД 05 01 34
",,,Определение синтезировано,"Назначение помещений и зон в области обслуживания населения,
Бытовое обслуживание,
Салон красоты,
Салон татуажа и пирсинга
"
,,RBG,,Зона объекта коммерческой деятельности,"Пространство, предназначенное для извлечения прибыли путем сдачи в аренду или ведения предпринимательской деятельности непосредственно собственником",,,"НД 04 01
НД 09 02 20
НД 09 02 10
НД 09 02",,,Определение синтезировано,"Коммерческие помещения
Деятельность туристических агенств
Деятельность туристических операторов"
,,RBH,,Зона образовательного учреждения,"Пространство, предназначенное для размещения организации, имеющей право в соответствии с национальным законодательством оказывать ""образовательные услуги"" и вести ""образовательную деятельность""","ГОСТ 12.0.004-2015
Федеральный закон от 29.12.2012 N 273-ФЗ",,"НД 03
НД 03 01
НД 03 01 01
НД 03 01 02
НД 03 01 03
НД 03 01 04
НД 03 02
НД 03 02 01
НД 03 02 02
НД 03 04
НД 03 04 10
НД 03 04 20
НД 03 04 30
НД 03 05
НД 03 05 10
НД 03 05 20
НД 03 05 30
НД 03 03
НД 03 03 01
НД 03 03 02
НД 03 03 03
НД 03 03 04
НД 03 03 05
НД 03 06
НД 03 06 01
НД 03 06 02
НД 03 06 03
НД 03 06 04
НД 03 06 05
НД 03 06 06
НД 03 06 08
НД 03 06 11
НД 03 06 12
НД 03 06 13
НД 03 06 14
НД 03 06 15
НД 03 07
НД 03 07 01
НД 03 07 02
НД 03 07 03
НД 03 07 04
НД 03 07 05
НД 03 07 06
НД 03 07 07


",,,Определение синтезировано,"Назначение помещений и зон  учебно-воспитательных организаций,
Назначение помещений образовательных организаций начальной школы:
1 класс,
2 класс,
3 класс,
4 класс.
Назначение помещений образовательных организаций средней школы:
Средние классы,
Старшие классы.
Среднее специальное образование:
Колледж,
Училище,
Лицей.
Высшее образование:
ВУЗ,
Подготовка кадров высшей квалификации,
Повышение квалификации.
Назначение учебно-воспитательных помещении ДОО: Ясельная группа,
Младшая группа,
Средняя группа,
Старшая группа,
Подготовительная группа.
Дополнительное образование детей и взрослых:
Академическая школа искусств,
Академическое образование,
Компьютерные курсы,
Курсы подготовки к экзаменам,
Музыкальная школа,
Обучение боевым искусствам,
Обучение йоге,
Тренинги и курсы различных профессий,
Художественная школа,
Школа или студия танцев,
Школа или студия фотографии,
Школа искусств (не академическая).
Дополнительное образование взрослых:
Автошкола, получение водительских удостоверений,
Курсы выживания,
Курсы подготовки охранников,
Курсы скорочтения,
Ораторские курсы,"
