Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,Примеры компонентов ISO 81346-2:2019,Примеры компонентов (НТД РФ)(НТД РФ),IFC-entity,КСР,МССК,ПСК,Примечание
,SJ,,,"устройство, приводимое в действие пальцем","объект взаимодействия с человеком посредством действия, осуществляемого пальцем",ISO 81346-2:2019,Вид метода,,,,,,,
,,SJA,,щелчковый выключатель,"устройство, приводимое в действие пальцем при помощи рычага",,,2-позиционный переключатель,,,,,,
,,SJB,,кнопка,"устройство, приводимое в действие пальцем путем нажатия
-
Внешняя часть органа управления нажимной кнопки, к которой прикладывают усилие нажатия.",ГОСТ IEC 60947-5-1-2014,,"устройство удержания для запуска, клавиатура, кнопочный переключатель",,,,,,
,,SJC,,сенсорная панель,"устройство, приводимое в действие пальцем путем прикосновения",,,"2-позиционный переключатель, сенсорная панель",,,,,,
,,SJD,,валоповоротный штурвал,"устройство, приводимое в действие пальцем путем вращения колеса в любую из сторон",,,,,,,,,
,SK,,,устройство взаимодействия движений,"объект взаимодействия, приводимый в действие вручную путем его перемещения или установки в определенном положении",ISO 81346-2:2019,Вид метода,,,,,,,
,,SKA,,джойстик,устройство взаимодействия движений путем ограниченного позиционирования и выбора операций,,,шариковый пишущий элемент,,,,,,
,,SKB,,мышь,устройство взаимодействия движений путем неограниченного позиционирования и выбора операций,,,световое перо,,,,,,
,SZ,,,мультиинтерактивное устройство,объект взаимодействия с человеком с несколькими видами взаимодействующих средств,ISO 81346-2:2019,Вид применяемых средств,,,,,,,
,,SZA,,панель управления,устройство со множеством типов взаимодействия с ручным управлением,,,"геймпад, игровой контроллер, джойстик",,,,,,
T_,,,,преобразующий объект,объект для трансформации,ISO 81346-2:2019,"Вид изменяемого
объекта и вид преобразования",,,,,,,
,TA,,,объект для трансформации электрической энергии,"объект, трансформирующий электрическую энергию при сохранении переменного или постоянного тока",ISO 81346-2:2019,"Вид
преобразуемых характеристик",,,,,,,
,,TAA,,трансформатор,"объект, трансформирующий электрическую энергию из переменного тока в переменный без изменения частоты
-
Статическое электромагнитное устройство, имеющее две или более индуктивно связанных обмоток и предназначенное для преобразования посредством электромагнитной индукции одной или нескольких систем переменного тока в одну или несколько других систем переменного тока ",ГОСТ 16110-82,,разделительный трансформатор,,IfcTranformer,,,,
,,TAB,,конвертер постоянного тока,"объект, трансформирующий электрическую энергию из постоянного тока в постоянный",,,,,IfcTranformer,,,,
,,TAC,,преобразователь частоты,"объект, трансформирующий электрическую энергию из переменного тока в переменный с изменением частоты
-
Преобразователь сигнала для осуществления смещения частоты сигнала.",ГОСТ IEC 60050-151-2014,,,,IfcTranformer,,,,
,,TAD,,фазовращатель,"объект, трансформирующий электрическую энергию из переменного тока в переменный при сдвиге угла между напряжениями и токами
-
Устройство, которое создает определенные сдвиги фаз между входными и выходными синусоидальными величинами без изменения других характеристик.",ГОСТ IEC 60050-151-2014,,,,,,,,
,TB,,,объект для преобразования электрической энергии,"объект, трансформирующий электрическую энергию при изменении между переменным и постоянным током",ISO 81346-2:2019,"Вид
трансформации",,,,,,,
,,TBA,,выпрямитель,"объект, преобразующий электрическую энергию из переменного тока в постоянный
-
Конвертер электрической энергии, который преобразует однофазные или многофазные переменные токи в однонаправленный ток.",ГОСТ IEC 60050-151-2014,,источник питания,,,,,,
,,TBB,,инвертор,"объект, преобразующий электрическую энергию из постоянного тока в переменный
-
Конвертер электрической энергии, который преобразует постоянный ток в однофазные или многофазные переменные токи. ",ГОСТ IEC 60050-151-2014,,источник питания,,,,,,
,,TBC,,двунаправленный инвертор,"объект, преобразующий электрическую энергию из переменного тока в постоянный или из постоянного тока в переменный",,,,,,,,,
,TC,,,универсальный источник питания,"объект, трансформирующий электрическую энергию из переменного и постоянного тока в переменный или постоянный",ISO 81346-2:2019,Вид выхода источника,,,,,,,
,,TCA,,универсальный источник питания переменного тока,"универсальный источник питания, обеспечивающий переменный ток",,,источник питания,,IfcTranformer,,,,
,,TCB,,универсальный источник питания постоянного тока,"универсальный источник питания, обеспечивающий постоянный ток",,,источник питания,,IfcTranformer,,,,
,TF,,,объект преобразования сигналов,"объект, трансформирующий сигнал",ISO 81346-2:2019,Вид преобразования,,,,,,,
,,TFA,,"усилитель
-
Устройство для увеличения мощности сигнала.","объект, преобразующий сигнал, сохраняя форму сигнала",ГОСТ IEC 60050-151-2014,,,,,,,,
,,TFB,,сигнальная антенна,"объект, преобразующий сигнал между проводной и беспроводной формой",,,"антенна, антенна индуктивного сигнала, ИК-диод, ИК-передатчик, осциллятор, антенна радиосигнала_x000D_",,,,,,
,,TFC,,преобразователь сигнала,"объект, преобразующий сигнал между проводными формами
-
Составная часть двуручного устройства управления, принимающая входной сигнал от исполнительного устройства управления и передающая и (или) преобразующая этот сигнал в форму, приемлемую для устройства обработки сигнала",ГОСТ ИСО 13851-2006,,"оптопара, преобразователь",модем,,,,,
,,TFD,,оптический приемник/передатчик,"объект, преобразующий сигнал между электрической и оптической формой
-
Элемент линейной сети, обеспечивающий преобразование оптического сигнала в электрические сигналы (радиосигналы).",ГОСТ Р 52023-2003,,,,IfcCommunicationsAppliance,,,,
,,TFE,,телефон,"объект, преобразующий сигнал между акустическими волнами и электрическими сигналами",,,"сотовый телефон, мобильный телефон, телефонный аппарат",,"IfcAudioVisualAppliance, IfcCommunicationsAppliance",,,,
,TL,,,"объект, трансформирующий механическую энергию","объект, трансформирующий механическую энергию",ISO 81346-2:2019,"Вид
трансформации",,,,,,,
,,TLA,,зубчатое колесо,"объект, трансформирующий механическую энергию, изменяя скорость",,,"автоматическая коробка передач, управляющая муфта, делительное зубчатое колесо, преобразователь скорости",,,,,,
,,TLB,,преобразователь крутящего момента,"объект, трансформирующий механическую энергию, изменяя вращающий момент",,,,,,,,,
,,TLC,,рычаг,"объект, трансформирующий механическую энергию, изменяя усилие",,,,,,,,,
,TM,,,"объект, уменьшающий массу","объект, трансформирующий материю путем уменьшения массы",ISO 81346-2:2019,Вид процесса,,,,,,,
,,TMA,,сверлильный станок,"объект, уменьшающий массу при помощи механического процесса",,,"сверлильный станок, шлифовальный станок, штамповочный станок, пила, токарный станок",,,,,,
,,TMB,,термический резак,"объект, уменьшающий массу при помощи теплового процесса",,,"электронно-разрядный пильный станок, станок газовой резки
станок плазменной резки",,,,,,
,,TMC,,травильная машина,"объект, уменьшающий массу при помощи химического процесса",,,"прибор погружного травления, прибор разбрызгивающего травления",,,,,,
,TP,,,"объект, изменяющий форму материи","объект, трансформирующий материю путем преобразования формы",ISO 81346-2:2019,Вид процесса,,,,,,,
,,TPA,,ковочная машина,"объект, изменяющий форму материи путем ковки",,,"машина холодной ковки, машина горячей ковки",,IfcConstructionEquipmentResource,,,,
,,TPB,,пресс,"объект, изменяющий форму материи путем штамповки выдавливанием",,,,,IfcConstructionEquipmentResource,,,,
,,TPC,,машина для волочения проволоки,"объект, изменяющий форму материи путем вытягивания",,,машина для волочения труб,,IfcConstructionEquipmentResource,,,,
,,TPD,,прокатный станок,"объект, изменяющий форму материи путем прокатывания или обкатки",,,"накатная машина, листопрокатный станок, станок для прядения,
станок для формовки резьбы",,IfcConstructionEquipmentResource,,,,
,,TPE,,гибочный станок,"объект, изменяющий форму материи путем изгиба",,,"завивочная машина, кромкозагибочная машина",,IfcConstructionEquipmentResource,,,,
,,TPF,,электромагнитная формовочная машина,"объект, изменяющий форму материи путем штамповки высокими энергиями",,,"электрогидравлическая формовочная машина, взрывоформовочная машина",,IfcConstructionEquipmentResource,,,,
,TR,,,органическое растение,"объект, трансформирующий излучение при помощи фотосинтеза",ISO 81346-2:2019,Вид древесности,,,,,,,
,,TRA,,дерево,органическое растение с одним древесным стеблем,,,,контейнерное растение,,,,,
,,TRB,,кустарник,органическое растение с несколькими древесными стеблями,,,куст,контейнерное растение,,,,,
,,TRC,,вьющееся растение,органическое растение с длинными побегами с вьющимися органами,,,,,,,,,
,,TRD,,"цветок, трава","органическое растение, которое не является древесным или является незначительно древесным",,,"цветок, трава, овощное растение",микросбордер,,,,,
U_,,,,объект для удержания,"объект, предназначенный для расположения (локализации) других объектов",ISO 81346-2:2019,Вид позиционирования,,,,,,,
,UA,,,позиционирующий объект,"объект, удерживающий объект в определенном положении путем фиксации",ISO 81346-2:2019,Вид объекта для фиксации,,,,,,,
,,UAA,,изолятор,позиционирующий объект для проводника,,,,,,,,,
,,UAB,,сальниковый кабельный ввод,позиционирующий объект для кабеля,,,"доступ по кабельной линии, кабельный ввод",,,,,,
,,UAC,,осветительная арматура,"позиционирующий объект для источника света
-
Устройство, предназначенное для следующих целей: пространственного перераспределения и/или спектрального преобразования излучения ИС, устранения или снижения слепящего действия ИС и оптической системы ОП, крепления ИС внутри ОП и собственно ОП к опорной поверхности, подключения ИС к системе питания и их устойчивой работы, защиты ИС и оптической системы от механических повреждений и воздействия окружающей среды, защиты от прикосновения к токоведущим частям ОП.",ГОСТ Р 55392-2012,,светильник,,"IfcCableCarrierSegment, IfcFlowTerminal, IfcElectricAppliance, IfcLightFixture",,,,
,,UAD,,косоур,"позиционирующий объект для ширины лестницы
-
Наклонный компонент, на который опираются проступи и подступенки",ГОСТ Р ИСО 6707-1-2020,,,,,,,,
,,UAE,,доска обрешетки,позиционирующий объект для покрытия,,,,контробрешетка,,,,,
,,UAF,,кол,"позиционирующий объект для растения
-
Круглый лесоматериал малых диаметров, заостренный с одного торца.",ГОСТ 32714-2014,,"шпалер, решетка",,,,,,
,,UAG,,шпала,"позиционирующий объект для обеспечения заданного расстояния между рельсами
-
Элемент, служащий вертикальной и горизонтальной опорой для железнодорожного или трамвайного пути",ГОСТ Р ИСО 6707-1-2020,,,,,,,,
,,UAH,,зажимное устройство,позиционирующий объект для инструмента или заготовки,,,"зажимный патрон, железная подставка для дров в камине, зажим, токарный патрон",,,,,,
,,UAJ,,стойка для транспортного средства,позиционирующий объект для транспортного средства,,,велопарковка,,,,,,
,UB,,,переносящий объект,переносящий удерживающий объект,ISO 81346-2:2019,Вид метода,,,,,,,
,,UBA,,несущий лоток (короб),объект для переноса между двумя отдельным точками,,,"кабельный канал, лестничный лоток, кабельная стойка, изоляционная трубка, канал воздуховода, 
опорная конструкция для оборудования, кабельный канал","кабельный лоток
короб
лоток",,,,,
,,UBB,,подвесной крепеж,объект для переноса в отдельную точку путем поднятия вверх,,,"подвесной кронштейн, ремешок, шнур","гибкая поперечина
держатель
компенсированная подвеска",,,,,
,,UBC,,ступень,объект для переноса в отдельную точку по ступеням,,,ступенька,,,,,,
,,UBD,,мачта,"объект для переноса в отдельную точку путем толкания вверх
-
Основной несущий элемент, воспринимающий нагрузку от закрепленных на нем конструкций, функцией которого является передача этой нагрузки на фундамент или на узлы ригеля через крепежную раму (для светофорных мостиков и консолей).",ПНСТ 320-2018,,"мачта линии электропередачи, столб, опорный кронштейн,
опора линии электропередачи",,,,,,
,,UBF,,портал,объект для переноса между отдельным точками на определенном уровне,,,,,,,,,
,,UBG,,подиум,"Возвышение для натурщика, манекенщиков","Толковый словарь Ожегова. С.И. Ожегов, Н.Ю. Шведова. 1949-1992",,,,,,,,
,,UBH,,передвижной операционный стол,"операционный стол, который можно передвигать с одного места на другое с помощью собственных колес или приравненных к ним средств",ГОСТ Р МЭК 60601-2-46-2014,,,,,,,,
,,UBJ,,платформа,"возвышение, площадка для посадки пассажиров, погрузки багажа","Толковый словарь Ожегова. С.И. Ожегов, Н.Ю. Шведова. 1949-1992",,,,,,,,
,UC,,,вмещающий объект,объект для удержания путем вмещения,ISO 81346-2:2019,Вид метода,,,,,,,
,,UCA,,корпус,вмещающий объект для устройств,,,"шкаф, электрощит, распределительный щит,
обслуживающее помещение, серверная стойка, катушка для шланга, защитный шкаф, корпус датчика, вспомогательная стойка","главный распределительный щит
групповой щиток
защитный кожух",,,,,
,,UCB,,массив грунта (грунтовый массив),"Объем грунта, находящийся в основании здания/сооружения или вмещающий его, размеры которого не меньше зоны влияния здания/сооружения, или выделяемый для решения специальных задач",ГОСТ 25100-2020,,,,,,,,
,,UCC,,вытяжка,вмещающий объект для точечной вентиляции,,,ламинарный шкаф,"дымоприемник
дымоприемное устройство",,,,,
,UL,,,несущий конструктивный объект,объект для удержания путем формирования опоры в виде инженерной конструкции,ISO 81346-2:2019,Вид формы и характер работы,,,,,,,
,,ULA,,несущий слой,несущий конструктивный объект в виде слоя материала,,,"подстилающий слой, несущий слой, связанный слой","балластный слой
бетонная подготовка
грунтовая подушка
земляное полотно
подстилающий слой",,,,,
,,ULB,,консольный элемент,"несущий конструктивный объект в виде выступа, поддерживающего вышележащую конструкцию",,,карниз,"консольная балка
подферменник",,,,,
,,ULC,,свая,"несущий конструктивный объект изогнутой или прямой линейной формы, передающий силы сжатия окружающим средам
-
Погруженная в грунт или изготовленная в грунте вертикальная или наклонная конструкция, предназначенная для передачи нагрузки на основание.",СП 24.13330.2011,,"фундамент здания, опора моста, постамент","свая
свая шпунтовая
столбчатый фундамент опоры моста",IfcPile,,,,
,,ULD,,колонна,"несущий конструктивный объект изогнутой или прямой линейной формы, передающий силы сжатия другим конструктивным объектам
-
Конструктивный элемент гибкой формы, обычно вертикальный, который передает на опору приложенные к нему усилия, работая, в основном, на сжатие",ГОСТ Р ИСО 6707-1-2020,,"балясины, компрессионный элемент, опора, фундаментная колонна, распорка","колонна
оголовок опоры
пилон","IfcColumn, IfcColumnsStandardCase, IfcPile, IfcFooting, IfcMember, IfcMemberStandardCase",,,,
,,ULE,,балка,"несущий конструктивный объект прямой линейной формы, выдерживающий изгибающие усилия
-
Конструктивный элемент, служащий для передачи нагрузок между точками опоры или за их пределы, обычно протяженный в длину и расположенный, как правило, горизонтально",ГОСТ Р ИСО 6707-1-2020,,фундаментная балка,"балка
брус коньковый
мауэрлат
перемычка
прогон
ригель
стропило
стропильная нога
траверса","IfcFooting, IfcBeam, IfcElementAssembly, IfcBeamStandardCase, IfcMember, IfcMemberStandardCase",,,,
,,ULF,,растянутый стержневой элемент,"несущий конструктивный объект прямой линейной формы, выдерживающий растягивающий усилия",,,"анкерный болт, веревка, затяжка","анкерный болт
грунтовый анкер
грунтовый нагель
затяжка
тяга",IfcTendon,,,,
,,ULG,,блочный элемент,несущий конструктивный объект в виде блока,,,"кирпич, фундаментный блок, фундамент турбоагрегата",блок,,,,,
,,ULH,,арка,"несущий конструктивный объект изогнутой линейной формы, выдерживающий изгибающий усилия
-
Криволинейный конструктивный элемент или строительная конструкция в виде перекрытия над сквозным или глухим проемом, рассчитанного на восприятие нагрузок между точками опоры",ГОСТ Р ИСО 6707-1-2020,,,"арка
перемычка",,,,,
,,ULJ,,пилястра,"несущий конструктивный объект с плоской или изогнутой поверхностью, выдерживающий силы сжатия или изгибающие усилия
-
Плоская прямоугольная колонна или пилон, полностью присоединенная к поверхности стены",ГОСТ Р ИСО 6707-1-2020,,,пилястра,,,,,
,,ULK,,плита,"несущий конструктивный объект в виде горизонтальной плоской поверхности, выдерживающий изгибающие усилия
-
Горизонтальный плоскостной элемент сооружения, предназначенный для восприятия эксплуатационных нагрузок и передачи их на несущие элементы.",ГОСТ 21506-2013,,"мостовой настил, бетонный настил, настил, плита перекрытия, фундаментная плита, настил на отверстие, плита","фундаментная плита
плита перекрытия
плита
плита проезжей части",IfcSlab,,,,
,,ULL,,подпорная стенка,"несущий конструктивный объект в виде вертикальной плоской или изогнутой поверхности, выдерживающий изгибающие усилия",,,"консольная стена, массивная подпорная стена, шпунтовая стенка","подпорная стена
подпорная стенка
шпунт стальной",IfcWall,,,,
,,ULM,,стена,"несущий конструктивный объект в виде плоской или изогнутой поверхности, выдерживающий силы сжатия
-
Вертикальная строительная конструкция, которая ограничивает или разделяет пространство и, как правило, выполняет несущую или опорную функцию",ГОСТ Р ИСО 6707-1-2020,,"бетонный элемент, облицовочная стена, фундаментная стена, несущая стена, стена","стена
панель","IfcWall, IfcPlate, IfcPlateStandarsCase",,,,
,,ULN,,оболочечный элемент,"несущий конструктивный объект в виде плоской или изогнутой поверхности, выдерживающий растягивающий усилия",,,"скуловой лист, обшивка корпуса, пластина
корпуса корабля, плита с работающей обшивкой",,,,,,
,,ULP,,неразрезная арочная конструкция,"несущий конструктивный объект в виде изогнутой поверхности, выдерживающий изгибающие усилия",,,"купол, мембрана, туннель трубопровода, свод",,,,,,
,,ULQ,,опорная плита,"несущий конструктивный объект в виде плоской поверхности, распределяющий нагрузку в соединениях",,,"пластина, распределение давления, опорный клин",,,,,,
,,ULR,,несущий трос,"несущий конструктивный объект изогнутой линейной формы, выдерживающий растягивающие усилия",,,,вант,,,,,
,,ULS,,диафрагма жесткости,"несущий конструктивный объект в виде плоской поверхности, выдерживающий поперечные (боковые) усилия, действующие в его плоскости
-
 Стена, служащая для восприятия сдвиговых усилий, действующих в ее плоскости",ГОСТ Р ИСО 6707-1-2020,,,"диафрагма жесткости
контрфорс","IfcWall, IfcPlate, IfcPlateStandarsCase",,,,
,UM,,,объект для укрепления (усиления),объект для удержания путем укрепления или усиления,ISO 81346-2:2019,Вид метода,,,,,,,
,,UMA,,усиливающий стержень,"усиливающий объект в виде закладного стержня
-
",,,арматура,"арматурный стержень
анкер
нагель
нагельное соединение",IfcReinforcingBar,,,,
,,UMB,,усиливающая сетка,усиливающий объект в виде встроенной сетки или ткани,,,арматурная сетка,арматурная сетка,IfcReinforcingMesh,,,,
,,UMC,,армирующий слой,усиливающий объект в виде слоя материала,,,усиление дорожного покрытия,,IfcReinforcingElement,,,,
,,UMD,,армирующее вещество,усиливающий объект в виде вложенного материала,,,"бетонная закачка, известковая колонна",,,,,,
,,UME,,защитная пластина,усиливающий объект в виде защелки замка,,,,,,,,,
,,UMF,,накладка,усиливающий объект в качестве промежуточного соединителя,,,соединительная пластина,,,,,,
,,UMG,,скважина вертикального дренажа,усиливающий объект с использованием вертикального дренирования,,,,,,,,,
,,UMH,,набрызг бетона,усиливающий объект с использованием набрызга бетона,,,,,IfcSurfaceFeature,,,,
,,UMJ,,бетонное покрытие,усиливающий объект с использованием бетонной облицовки,,,,крепь,IfcCovering,,,,
,,UMK,,элемент усиления локальной жесткости,усиливающий объект с использованием ребер жесткости,,,"контрфорс, подпорка, контрфорсная арка, ребро","вут
контрфорс
диафрагма
ребро жесткости",,,,,
,,UML,,связевой элемент,усиливающий объект с использованием диагональной перевязки,,,,раскос,,,,,
,,UMM,,удерживающий трос,усиливающий объект в виде тросов,,,,растяжка,,,,,
,,UMN,,распорка,усиливающий объект в виде горизонтальной перекладины,,,,"пояс фермы
распорка",,,,,
,,UMP,,земляная насыпь,"усиливающий объект, который своим противовесом стабилизирует почву",,,,,,,,,
,UN,,,обрамляющий объект,"объект, удерживающий другие объекты путем заключения их обрамления",ISO 81346-2:2019,Вид метода,,,,,,,
,,UNA,,рама,"объект, обрамляющий при помощи фиксированной рамы",,,"дверная рама, оконная рама",,,,,,
,,UNB,,порог,"объект, обрамляющий нижнюю часть, прилегающую к воротам, двери
-
Нижняя часть притвора дверного полотна или ворот.",ГОСТ Р 53307-2009,,,,,,,,
,,UNC,,подвижная рама,"объект, обрамляющий при помощи подвижной рамы",,,рама оконного стекла,,,,,,
,,UND,,импост,"обрамляющий объект, разделяющий створку или дверь
-
Вертикальный или горизонтальный средний брусок коробки.",ГОСТ 26602.5-2001,,горбылек,раскладка (штапик),,,,,
,UP,,,соединяющий объект,объект для удержания при помощи нестатического соединения,ISO 81346-2:2019,Вид метода,,,,,,,
,,UPA,,подшипник,"объект, соединяющий при помощи подшипника
-
Устройство, которое служит опорой для вращающегося вала и, если необходимо, ограничивает его аксиальное перемещение.",ГОСТ IEC 60050-411-2015,,"шарикоподшипник, роликовый подшипник, предмет скольжения",,,,,,
,,UPB,,шарнир,"объект, соединяющий при помощи механического соединения",,,"упругое крепление, компенсационный шов, подвижное соединение",,,,,,
,,UPC,,химическое соединение,"объект, соединяющий при помощи химической связи",,,"цемент, структурное соединение",,"IfcDiscreteAccessory, IfcFastener",,,,
,UQ,,,объект крепления,объект для удержания при помощи статического соединения,ISO 81346-2:2019,Вид метода,,крепеж,,,,,
,,UQA,,крепежное изделие неразборное,"неразборный объект крепления, устанавливаемый механическим способом",,,"монтажный кронштейн, гвоздь, заклепка","заклепка
кабельная полка (кронштейн)",,,,,
,,,UQA10,закладная деталь,"Металлические элементы (из круглой, полосовой, уголковой стали), устанавливаемые (закладываемые) в конструкции до бетонирования для соединений сваркой сборных и сборно-монолитных железобетонных конструкций между собой и с другими конструкциями зданий (сооружений)",ГОСТ 24155-2016,,,закладное изделие,IfcReinforcingElement,,,,
,,UQB,,крепежное изделие разборное,"разборный объект крепления, устанавливаемый механическим способом",,,"монтажный кронштейн, гайка, рельсовый крепеж, винт","болт
гайка",,,,,
,,UQC,,химическая связь,объект крепления при помощи химической связи,,,сварной шов,сварной шов,,,,,
,UT,,,выравнивающий объект,объект для удержания путем выравнивания,ISO 81346-2:2019,Вид метода,,,,,,,
,,UTA,,заполнение,"выравнивающий объект, обеспечивающий определенную профилированную поверхность плоскости путем добавления материала",,,,"цементно-песчаная стяжка
затирка
стяжка",,,,,
,,UTB,,выемка,"выравнивающий объект, обеспечивающий определенную профилированную поверхность плоскости путем удаления материала",,,котлован,,"IfcSite, IfcDIstributionChamberElement",,,,
,UU,,,существующий грунт,объект для удержания при помощи существующего грунта,ISO 81346-2:2019,Вид материала,,,,,,,
,,UUA,,скальный грунт,"существующий грунт, состоящий из каменистой породы",,,,,,,,,
,,UUB,,песчаный грунт,"существующий грунт, состоящий из фрикционного грунта",,,,,,,,,
,,UUC,,глинистый грунт,"существующий грунт, состоящий из связного грунта",,,,,,,,,
,,UUD,,верхний слой грунта,"существующий грунт, состоящий из органического грунта",,,,,,,,,
,,UUE,,грунт обратной засыпки,"существующий грунт, состоящий из заполняющего материала",,,,,,,,,
W_,,,,направляющий объект,"объект, для проведения из одного места в другое",ISO 81346-2:2019,Вид потока и вид технологии,,,,,,,
,WB,,,"объект, направляющий высоковольтную электрическую энергию","объект, направляющий высоковольтную электрическую энергию",ISO 81346-2:2019,Вид метода,,проводник,,,,,
,,WBA,,высоковольтная шина,"объект, направляющий высоковольтную электрическую энергию при помощи системы шин",,,,,"IfcCableCarrierSegment, IfcCableSegment, IfcElectricDistributionBoard",,,,
,,WBB,,высоковольтный кабель,"объект, направляющий высоковольтную электрическую энергию при помощи кабеля",,,,,"IfcCableCarrierSegment, IfcCableSegment, IfcElectricDistributionBoard",,,,
,,WBC,,высоковольтный провод,"объект, направляющий высоковольтную электрическую энергию при помощи провода",,,,,"IfcCableCarrierSegment, IfcCableSegment, IfcElectricDistributionBoard",,,,
,,WBD,,высоковольтный проходной изолятор,"объект, направляющий высоковольтную электрическую энергию через корпус, стену или барьер",,,,,,,,,
,WD,,,"объект, направляющий низковольтную электрическую энергию","объект, направляющий низковольтную электрическую энергию",ISO 81346-2:2019,Вид метода,,проводник,,,,,
,,WDA,,низковольтная шина,"объект, направляющий низковольтную электрическую энергию при помощи системы шин",,,,,"IfcCableCarrierSegment, IfcCableSegment, IfcElectricDistributionBoard",,,,
,,WDB,,низковольтный кабель,"объект, направляющий низковольтную электрическую энергию при помощи кабеля",,,,,"IfcCableSegment, IfcElectricDistributionBoard",,,,
,,WDC,,низковольтный провод,"объект, направляющий низковольтную электрическую энергию при помощи провода",,,,,"IfcCableCarrierSegment, IfcCableSegment, IfcElectricDistributionBoard",,,,
,,WDD,,низковольтный проходной изолятор,"объект, направляющий низковольтную электрическую энергию через корпус, стену или барьер",,,,,,,,,
,WE,,,"объект, направляющий опорный потенциал","объект, направляющий опорный потенциал",ISO 81346-2:2019,Вид метода,,проводник,,,,,
,,WEA,,шина заземления,"объект, направляющий опорный потенциал на землю при помощи шины",,,,главный заземляющий зажим (шина),IfcCableSegment,,,,
,,WEB,,кабель заземления,"объект, направляющий опорный потенциал на землю при помощи кабеля",,,,заземляющий проводник,IfcCableSegment,,,,
,,WEC,,шина для выравнивания потенциалов,"объект, направляющий опорный потенциал при помощи шины",,,,,,,,,
,,WED,,кабель для выравнивания потенциалов,"объект, направляющий опорный потенциал при помощи кабеля",,,,,,,,,
,WG,,,объект для направления электрического сигнала,"объект, направляющий электрические сигналы",ISO 81346-2:2019,Вид назначения,,проводник,,,,,
,,WGA,,управляющий кабель,"объект, направляющий электрические сигналы с целью контроля и измерения",,,,,,,,,
,,WGB,,кабель данных,"объект, направляющий электрические сигналы с целью передачи данных",,,шина данных,,IfcCommunicationsAppliance,,,,
,,WGC,,проходной изолятор электрического сигнала,"объект, направляющий электрические сигналы через корпус или стену",,,,,,,,,
