Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,,PAC030,Зона распространения выхлопных газов от дизель-генератора,Зона распространения выхлопных газов от дизель-генератора,СП 263.1325800.2016,,,
,,PAD,,Пространство распространения жидкости,"Пространство, в котором происходит распространение жидкости в среде",IEC 81346-2:2019,,,Определение синтезировано
,,,PAD010,Пространство для сбора и возврата конденсата,Пространство для сбора и возврата конденсата,IEC 81346-2:2019,,,Определение синтезировано
,,,PAD020,Зона затопления,"Территория, покрываемая водой в результате превышения притока воды по сравнению с пропускной способностью русла",ГОСТ 22.0.03-97,,,
,,,PAD030,Зона катастрофического затопления,Зона возможного катастрофического затопления в результате разрушения плотин или дамб,СП 18.13330.2019,,,
,,PAE,,Пространство распространения плазмы,"Пространство, в котором происходит распространение ионизированного газа",IEC 81346-2:2019,,,Определение синтезировано
,,PAF,,Пространство распространения дыма,"Пространство, в котором происходит распространение дымовых газов",IEC 81346-2:2019,,,Определение синтезировано
,,,PAF010,Дымовая зона,"Часть помещения общей площадью не более 3000 м, из которой удаляются продукты горения (дым), обеспечивая эвакуацию людей из горящего помещения",СП 60.13330.2016,,,
,,,PAF020,Каминная выемка,"Пространство, образованное стеной или выступом камина для дымохода в целях размещения очага (открытого огня) или нагревательного устройства и от которого начинается дымоход",ГОСТ Р 58033-2017,,,
,PB,,,Пространство для потока энергии,"Пространство, в котором происходит распространение потока энергии из единичного процесса или системы жизненного цикла продукции",ГОСТ Р ИСО 14044-2019,По функциональному назначению,,
,,PBA,,Пространство распространения электрической энергии,"Пространство, в котором происходит распространение энергии электрического поля",IEC 81346-2:2019,,,Определение синтезировано
,,,PBA010,Зона молниезащиты,"Зона, в которой устанавливается электромагнитная защита от грозовых разрядов",ГОСТ Р 54418.24-2013,,,
,,,PBA020,Зона защиты от прямых ударов молнии,"Область пространства, отличающаяся тем, что вероятность удара молнии в объект, целиком размещенный в объеме этой области, не превышает заданной величины",ГОСТ Р 58232-2018,,,
,,PBB,,Пространство распространения тепловой энергии,"Пространство, в котором происходит распространение тепловой энергии",IEC 81346-2:2019,,,Определение синтезировано
,,,PBB010,Зона термического влияния,"Участок основного металла, не подвергающийся расплавлению, структура которого изменилась в результате нагрева при сварке плавлением или резке",Терминологический словарь по строительству,,,
,,,PBB020,Зона годовых колебаний температур грунта,"Верхняя область земной коры между поверхностью земли и нейтральным слоем температур, в котором температура грунта близка к средней годовой температуре воздуха за многолетний период в данной местности",Терминологический словарь по строительству,,,
,,,PBB030,Зона температурного влияния теплопроводов,Зона температурного влияния теплопроводов,СП 18.13330.2019,,,Определение синтезировано
,,,PBB040,Зона теплового потока,Зона теплового потока,,,,Определение синтезировано
,,PBC,,Пространство распространения механической энергии,"Пространство, в котором происходит распространение механической энергии",IEC 81346-2:2019,,,Определение синтезировано
,,,PBC010,Зона воздействия взрыва (зона поражения или разрушения),"Зона территориального распределения поражающего фактора взрыва вокруг места возникновения аварии, ограниченная изолинией установленного порогового значения избыточного давления, импульса, условной вероятности разрушения здания или иного параметра взрыва","Руководство по безопасности ""Методы обоснования взрывоустойчивости зданий и сооружений при взрывах топливно-воздушных смесей на опасных производственных объектах""",,,
,,,PBC020,Зона удара,Опасная зона вблизи движущихся частей машин и оборудования,IEC 81346-2:2019,,,Определение синтезировано
,,,PBC030,Зона влияния линии метрополитена,"Зона, за пределами которой вибрация от метрополитена не выделяется над уровнем фоновой вибрации",СП 465.1325800.2019,,,
,,,PBC040,Зона возможного перемещения груза,"Граница зоны обслуживания грузоподъемным краном, определяющаяся максимальным вылетом на стоянке (участке между крайними стоянками) крана",Р-ССК-05-2016,,,
,,PBD,,Пространство распространения взрыва,"Пространство, в котором происходит высокоскоростное распространение взрывной волны",IEC 81346-2:2019,,,Определение синтезировано
,,,PBD010,Взрывоопасная зона,"Зона, в которой присутствует или может образоваться взрывоопасная среда в объеме, требующем специальных мер защиты при конструировании, монтаже и эксплуатации оборудования",ГОСТ 31610.0-2019,,,
,,,PBD020,Зона распространения ударной волны,Зона распространения ударной волны,СП 93.13330.2016,,,
,,,PBD030,Взрывоопасная зона (для взрывоопасной газовой среды),"Часть замкнутого или открытого пространства, в котором присутствует или может образоваться взрывоопасная газовая смесь в объеме, требующем специальных мер защиты при конструировании, изготовлении и эксплуатации оборудования",ГОСТ IEC 60079-10-1-2013 ,,,
,,,PBD040,Взрывобезопасная зона (для взрывоопасной газовой среды),"Часть замкнутого или открытого пространства, в котором отсутствует взрывоопасная среда в объеме, требующем специальных мер защиты при конструировании, изготовлении, монтаже и эксплуатации оборудования",ГОСТ IEC 60079-10-1-2013 ,,,
,,PBE,,Зона распространения пожара,"Пространство, в котором возможен процесс горения и распространения огня",ГОСТ 31610.0-2019,,,Определение синтезировано
,,,PBE010,Зона опасная по горючим газам и парам,"Зона, в которой взрывоопасная среда в виде смеси с воздухом горючих газов, паров или туманов присутствует постоянно или в течение длительных периодов времени, или часто",ГОСТ 31438.1-2011,,,
,,,PBE020,Зона факельного сжигания,"Факельное сжигание - процесс сжигания газообразного, жидкого или пылевидного топлива, организованный так, чтобы горение происходило только в объеме топки",СТО 17330282.27.010.001-2008,,,
,,,PBE030,Пожарный отсек,"Часть здания, сооружения и строения, выделенная противопожарными стенами и противопожарными перекрытиями или покрытиями, с пределами огнестойкости конструкции, обеспечивающими нераспространение пожара за границы пожарного отсека в течение всей продолжительности пожара",СП 158.13330.2014,,,
,,,PBE040,Пожарная секция,"Часть пожарного отсека, выделенная противопожарными преградами в соответствии с требованиями нормативных документов по пожарной безопасности",СП 2.13130.2020,,,
,,,PBE050,Зона горения,"Часть пространства, в котором расположены горючие материалы и вещества и где происходит их непосредственное горение",СП 329.1325800.2017,,,
Q,,,,Пространство с неустановленным функциональным назначением,"Пространство, предназначенное для размещения помещений с различным назначением",,По виду пространства,,
,QA,,,Нежилое помещение с гибким функциональным назначением,"Помещения в структуре здания без предварительно установленного функционального деления, для которых предусмотрена возможность переустройства и переоборудования под предприятия и организации различного назначения и площади без изменения несущих конструкций",СП 118.13330.2012,,,
,QB,,,Помещение универсальное,"Помещение, в котором благодаря организационным мероприятиям, а также сменяемому или трансформируемому оборудованию возможна организация различных видов деятельности",СП 136.13330.2012,,,
,,,QB010,Универсальный (многофункциональный) спортивный зал,"Помещение спортивного зала, в котором благодаря организационным мероприятиям, а также сменяемому или трансформируемому оборудованию возможна организация различных видов деятельности",СП 118.13330.2012,,,Определение синтезировано
R,,,,Территориальные зоны,"Пространство, для которого в правилах землепользования и застройки определены границы и установлены градостроительные регламенты",ОДМ 218.3.052-2015,По типу зоны,,
,RA,,,Жилая зона,"Пространство, предназначенное для застройки объектами, для которых не требуется установление санитарно-защитных зон и деятельность которых не оказывает вредное воздействие на окружающую среду",ТСН 11-301-2005,По функциональному назначению,,
,,RAA,,Зона многоквартирной застройки,"Пространство, предназначенное для застройки многоквартирными домами",Определение синтезировано,,,
,,RAB,,Зона застройки домами малой и средней этажности,"Пространство, предназначенное для застройки домами малой и средней этажности",Определение синтезировано,,,
,,RAC,,Зона застройки блокированными домами,"Пространство, предназначенное для застройки двумя и более пристроенными друг к другу домами, каждый из которых имеет непосредственный выход на отдельный приквартирный участок",СП 55.13330.2016,,,
,,RAD,,Зона застройки индивидуальными жилыми домами с приусадебными земельными,"Пространство, предназначенное для застройки одноквартирными индивидуальными домами, обычно двухэтажными, у которых имеется небольшой участок земли","Методическое пособие ""Термины и определения в нормативных технических документах по проектированию жилых, общественных и производственных зданий""",,,
,,RAE,,"Зона (территория) садоводческих, дачных и огороднических кооперативов","Пространство для ведения садоводства, огородничества и отдыха в индивидуальном (семейном) порядке, с сооружениями и строениями как сезонного, так и круглогодичного использования",СП 53.13330.2019,,,
,RB,,,Общественно-деловая зона,"Пространство, предназначенное для размещения объектов, связанных с обеспечением жизнедеятельности граждан",Федеральный закон от 27.07.2010 N 190-ФЗ,По функциональному назначению,,
,,RBA,,Зона объекта здравоохранения,"Пространство, предназначенное для застройки крупными оздоровительными объектами здравоохранения, объектами с совмещением функций проживания, лечения и обучения, а также объектами инженерной инфраструктуры, обслуживающими зону",,,,Определение синтезировано
,,RBB,,Зона объекта социального назначения,"Пространство, предназначенное для застройки и эксплуатации объектов, связанных с обеспечением жизнедеятельности и обслуживанием населения",СП 136.13330.2012,,,
,,RBC,,Зона объекта культуры и искусства,"Пространство, на котором располагаются объекты культуры и искусства",,,,Определение синтезировано
,,RBD,,Зона объекта торговли,"Пространство, предназначенное для застройки и эксплуатации объектов торговли",,,,Определение синтезировано
,,RBE,,Зона объекта общественного питания,"Пространство, предназначенное для оказания услуг общественного питания",,,,Определение синтезировано
,,RBF,,Зона объекта бытового обслуживания,"Пространство, предназначенное для оказания бытовых услуг, пользующееся периодическим спросом населения",СП 450.1325800.2019,,,Определение синтезировано
,,RBG,,Зона объекта коммерческой деятельности,"Пространство, предназначенное для извлечения прибыли путем сдачи в аренду или ведения предпринимательской деятельности непосредственно собственником",Определение синтезировано,,,Определение синтезировано
,,RBH,,Зона образовательного учреждения,"Пространство, предназначенное для размещения организации, имеющей право в соответствии с национальным законодательством оказывать ""образовательные услуги"" и вести ""образовательную деятельность""",ГОСТ 12.0.004-2015,,,Определение синтезировано
,,RBJ,,Зона учреждения отдыха,"Пространство, предназначенное и обустроенное для организации активного массового отдыха и рекреации",Определение синтезировано,,,Определение синтезировано
,,RBK,,Зона физкультурно-оздоровительных и спортивных сооружений,"Пространство, оборудованное площадками и помещениями, оснащенное специальными техническими средствами и предназначенное для физкультурно-оздоровительных, спортивных услуг, спортивно-зрелищных мероприятий, а также для организации физкультурно-оздоровительного и спортивного досуга",ГОСТ Р 54964-2012,,,
,,RBL,,Зона административного учреждения,"Пространство, использующееся с целью размещения административных учреждений",,,,Определение синтезировано
,,RBM,,Зона научно-исследовательского учреждения,"Пространство, предназначенное для застройки объектами научно-производственных, научно-исследовательских учреждений",,,,Определение синтезировано
,,RBN,,Зона культовых зданий,"Пространство, предназначенное для молитвенного собрания верующих и проведения религиозных обрядов",СП 258.1311500.2016,,,
,,RBP,,"Зона центра деловой, финансовой, общественной активности","Пространство, в котором размещены наиболее важные пространства делового, общественного и коммерческого назначения",Федеральный закон от 27.07.2010 N 190-ФЗ,,,
,,RBQ,,Зона стоянки автомобильного транспорта,Пространство для размещения транспортного средства на временную стоянку,СТО НОСТРОЙ 2.23.134-2013,,,
,,RBR,,Зона многофункциональной застройки,"Пространство, включающее в свой состав две и более функционально-планировочные зоны застройки, взаимосвязанные друг с другом",СП 160.1325800.2014,,,
,,RBS,,Зона специализированной застройки,"Пространство, предназначенное для специализированной застройки",,,,Определение синтезировано
,RC,,,Производственная зона,"Пространство, оснащенное необходимыми техническими средствами, в котором осуществляется производственная деятельность и находятся рабочие зоны трудовой деятельности работающих",ГОСТ 12.0.002-2014 ,По функциональному назначению,,
,,RCA,,Зона промышленного объекта,"Пространство, на котором осуществляется производственная деятельность или которое предназначено для ее проведения",ГОСТ Р 58579-2019,,,
,,RCB,,Зона коммунального объекта,"Пространство, на котором размещены коммунальные объекты, а также объекты жилищно-коммунального хозяйства",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,
,,RCC,,Зона складского объекта,Пространство с преимущественным размещением складских объектов и устройств,Терминологический словарь по строительству,,,
,,RCD,,Коммунально-складская зона,"Пространство, предназначенное для размещения групп и отдельных предприятий, обеспечивающих потребности населения в хранении товаров, коммунальных и бытовых услугах, с общими для них объектами инженерно-технического и административного обеспечения",СП 473.1325800.2019,,,
,RD,,,Зона инженерной и транспортной инфраструктур,"Пространство, объединяющее комплекс сооружений и коммуникаций транспорта и инженерного оборудования, обеспечивающее устойчивое развитие и функционирование территорий",МДС 30-2.2008,По функциональному назначению,,
,,RDA,,Зона железнодорожного транспорта,"Пространство, предназначенное для перевозок железнодорожным транспортом ",ГОСТ 34530-2019,,,
,,RDB,,Зона автомобильного транспорта,"Пространство, предназначенное для движения автомобильного транспорта",,,"Зона магистральной дороги
Зона магистральной улицы
Зона улицы местного значения
Зона проезда
Зона туннеля",Определение синтезировано
,,RDC,,Зона речного транспорта,"Пространство, предназначенное для размещения объектов речного транспорта ",,,,Определение синтезировано
,,RDD,,Зона морского транспорта,"Пространство, предназначенное для размещения объектов морского транспорта ",,,,Определение синтезировано
,,RDE,,Зона воздушного транспорта,"Пространство, предназначенное для размещения объектов воздушного транспорта",,,,Определение синтезировано
,,,RDE010,Территория аэродрома,"Участок земли или акватория с расположенными на нем зданиями, сооружениями и оборудованием, предназначенный для взлета, посадки, руления и стоянки воздушных судов",ГОСТ Р 58033-2017,,,
,,,RDE020,Территория вертодрома,"Участок земли или определенный участок поверхности сооружения, предназначенный полностью или частично для взлета, посадки, руления и стоянки вертолетов",Воздушный кодекс Российской Федерации от 19.03.1997 N 60-ФЗ ,,,
,,RDF,,Зона трубопроводного транспорта,"Пространство, предназначенное для транспортировки продукции по специальным трубопроводам",ГОСТ 33937-2016,,,
,,RDG,,Зона связи,Пространство для передачи сообщений на расстоянии посредством каналов связи,,,,Определение синтезировано
,,RDH,,Зона инженерных сооружений и коммуникаций,"Пространство, предназначенное для размещения инженерных сооружений и коммуникаций в границах технических зон",,,,Определение синтезировано
,RE,,,Рекреационная зона,"Пространство, расположенное в пригородной местности или в городе, предназначенное для организации мест отдыха населения",СП 127.13330.2017,По функциональному назначению,,
,,REA,,Зона природного водного объекта,"Пространство водного объекта с прилегающим к нему берегом, используемое для отдыха",СанПиН 2.1.5.980-00,,,
,,,REA010,Территория озера,Естественный водоем с замедленным водообменом,ГОСТ 19179-73,,,
,,,REA020,Территория реки,"Водоток значительных размеров, питающийся атмосферными осадками со своего водосбора и имеющий четко выраженное русло",ГОСТ 19179-73,,"Большая река
Малая река",
,,,REA030,Пляж,"Участок побережья естественного или искусственного водоема с прибрежными водами (акваторией), оборудованный и пригодный для организованного отдыха, купания и приема оздоровительных и профилактических процедур",ГОСТ Р 57617-2017,,"Естественный пляж
Искусственный пляж
Лечебный пляж",
,,REB,,Зона ландшафтного природного объекта,"Пространство, которое не подверглось изменению в результате хозяйственной и иной деятельности и характеризуется сочетанием определенных типов рельефа местности, почв, растительности",ГОСТ Р 56891.4-2016,,,
,,,REB010,Территория лесопарка,"Благоустроенная лесная территория, предназначенная для отдыха населения",ГОСТ 17.6.1.01-83,,,
,,,REB020,Территория природного парка,"Территория, предназначенная для сохранения природных комплексов, имеющих определенную научную, историческую, культурно-познавательную и эстетическую ценность и используемая в рекреационных целях",ГОСТ 17.6.1.01-83,,,
,,,REB030,Территория городского леса,"Территория леса, расположенная на землях городского пункта",Лесной кодекс РФ,,,
,RF,,,Зона сельскохозяйственного использования,"Пространство, имеющее особое природоохранное, научное, культурное, эстетическое, рекреационное и оздоровительное значение, на которых в соответствии с законодательством установлен режим особой охраны",СП 42.13330.2016,,"Пашня 
Плодовый сад 
Виноградник 
Огород 
Сенокос 
Пастбище ",
,RG,,,Зона специального назначения,"Пространство, в которое могут включаться зоны, размещение которых может быть обеспечено только путем выделения указанных зон и недопустимо в других территориальных зонах ",Федеральный закон от 27.07.2010 N 190-ФЗ,По функциональному назначению,,
,,RGA,,Пространство кладбища,"Место, предназначенное для погребения умерших",Федеральный закон от 27.07.2010 N 190-ФЗ,,,Определение синтезировано
,,RGB,,Пространство крематория,"Пространство, где кремируют (сжигают) тела умерших",Федеральный закон от 27.07.2010 N 190-ФЗ,,,Определение синтезировано
,,RGC,,Скотомогильник,Место для долговременного захоронения трупов сельскохозяйственных и домашних животных,Федеральный закон от 27.07.2010 N 190-ФЗ,,,Определение синтезировано
,,RGD,,Пространство свалки бытовых отходов,"Пространство, предназначенное для размещения бытовых отходов производства и потребления",Федеральный закон от 27.07.2010 N 190-ФЗ,,,Определение синтезировано
,RH,,,"Зона военных объектов, иные зоны режимных территорий","Пространство, предназначенное для размещения объектов, в отношении территорий которых устанавливается особый режим использования",Федеральный закон от 27.07.2010 N 190-ФЗ,,,Определение синтезировано
,RJ,,,Зона с особыми условиями использования территорий,"Пространство, в границах которого устанавливается определенный правовой режим их использования, ограничивающий или запрещающий те виды деятельности, которые несовместимы с целями установления зоны",Федеральный закон от 27.07.2010 N 190-ФЗ,По виду территориальной зоны,,Определение синтезировано
,,RJA,,Зона охраны объектов культурного наследия,"Территория особого регулирования градостроительной деятельности, сопряженная с территорией объекта культурного наследия, на которой устанавливаются режимы использования земель и градостроительные регламенты, обеспечивающие сохранность объекта культурного наследия в его исторической среде",ГОСТ Р 57368-2016,,,
,,,RJA010,Зоны охраны памятников истории и культуры,"Совокупность территорий, окружающих территорию недвижимого памятника истории и культуры, а также пространства над ним и под ним, необходимых для обеспечения сохранности историко-культурной ценности и пространственной целостности памятника, с определенным режимом использования, утвержденная в своих границах в установленном порядке",Постановление Правительства Москвы N 313-ПП от 06.06.2016,,,
,,,RJA020,Зоны охраны объектов археологического наследия,"Территория особого регулирования градостроительной деятельности, сопряженная с территорией объекта культурного наследия, на которой устанавливаются режимы использования земель и градостроительные регламенты, обеспечивающие сохранность объекта культурного наследия в его исторической среде",ГОСТ Р 57368-2016,,,
,,,RJA030,Зоны охраны достопримечательных мест,"Территория особого регулирования градостроительной деятельности, сопряженная с территорией объекта культурного наследия, на которой устанавливаются режимы использования земель и градостроительные регламенты, обеспечивающие сохранность объекта культурного наследия в его исторической среде",ГОСТ Р 57368-2016,,,
,,RJB,,Зона особо охраняемой природной территории,"Участки земли, водной поверхности и воздушного пространства над ними, где располагаются природные объекты, которые изъяты решениями органов государственной власти полностью или частично из хозяйственного использования и для которых установлен режим особой охраны",СП 42.13330.2016,,,Определение синтезировано
,,,RJB010,Заповедник,"Территория, природа которой охраняется с целью сохранения в естественном состоянии типичных или уникальных для данной ландшафтной зоны природных комплексов, изучения протекающих в них природных процессов и явлений и разработки научных основ охраны природы",ГОСТ 17.6.1.01-83,,Заповедник природный,
,,,RJB020,Охранная зона заповедника,"Территория вокруг охраняемого заповедника, на которой частично ограничивается хозяйственная деятельность",ГОСТ 17.6.1.01-83,,,
,,RJC,,Санитарно-защитная зона,"Пространство с особым режимом использования, которое устанавливается вокруг объектов и производств, являющихся источниками воздействия на среду обитания и здоровье человека",ГОСТ 17.6.1.01-83,,,Определение синтезировано
,,RJD,,Водоохранная зона (прибрежная защитная полоса),"Пространство, которое примыкает к береговой линии водного объекта и на которые устанавливается специальный режим осуществления хозяйственной и иной деятельности ",Водный кодекс Российской Федерации от 03.06.2006 N 74-ФЗ,,,
,,RJE,,Зона санитарной охраны источников водоснабжения,"Пространство, на котором устанавливается особый санитарно-эпидемиологический режим для предотвращения ухудшения качества воды и охраны водопроводных сооружений",СанПиН 2.1.4.1110-02 ,,,
,,,RJE010,Зона санитарной охраны наземного источника водоснабжения,Зона санитарной охраны наземного источника водоснабжения,,,,
,,,RJE020,Зона санитарной охраны подземного источника водоснабжения,Зона санитарной охраны подземного источника водоснабжения,,,,
,,RJF,,Приаэродромная территория,Пространство для обеспечения безопасности полетов воздушных судов и исключения негативного воздействия оборудования аэродрома и полетов воздушных судов на здоровье человека и окружающую среду,Воздушный кодекс Российской Федерации от 19.03.1997 N 60-ФЗ ,,,
,,RJG,,Зона охраняемого объекта,"Пространство, на котором расположены охраняемые объекты",,,,Определение синтезировано
,,RJH,,Зона залегания полезных ископаемых,"Пространство, под которой непосредственно залегают полезные ископаемые, а также прилегающие к ней территории, попадающие в зону вредного влияния горных разработок и взрывных работ ",,,,Определение синтезировано
,,RJJ,,"Зона территории, подверженной воздействию чрезвычайных ситуаций природного и техногенного характера","Пространство, которое подвержено риску возникновения быстроразвивающихся опасных природных явлений и техногенных процессов ",,,,Определение синтезировано
,,,RJJ010,Зона влияния гидротехнического сооружения,"Территория, на которой возможны негативные явления и процессы, определенные в ходе прогнозирования угрозы возникновения чрезвычайных ситуаций, локализация и ликвидация которых требуют заблаговременной подготовки сил и средств единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций",ГОСТ Р 22.2.09-2015,,,
,,RJK,,Зона чрезвычайной экологической ситуации,"Пространство, на котором происходят устойчивые отрицательные изменения в окружающей среде, угрожающие здоровью населения, состоянию естественных экологических систем, генетических фондов растений и животных",Федеральный закон от 10.01.2002 N 7-ФЗ ,,,
,RK,,,Функционально-планировочные образования,"Пространство города, представляющее собой целостное градостроительное образование, для которого установлены границы, территориальные регламенты, градостроительные нормативы и правила",МГСН 1.01-99,По функциональному назначению,,
,,RKA,,Межмагистральная территория,"Пространство, ограниченное красными линиями магистральных улиц общегородского значения, границами территорий городских узлов и примагистральных территорий",МГСН 1.01-99,,,
,,RKB,,Район,"Пространство, состоящее из нескольких микрорайонов, объединенных общественным центром, ограниченных магистральными улицами ",СП 42.13330.2016,,,
