Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,DFA,,,,Страховой полис,"Именной документ, подтверждающий заключение договора страхования, выдаваемый страховой компанией (страховщиком) страхователю (застрахованному)",Положение Банка России от 28.12.2016 N 574-П,,,Сформулировано на основании результата анализа источников
,,DFB,,,,Страховой акт,"Документ, который составляется страховщиком при признании им наступления страхового случая и служит основанием для выплаты страхового возмещения",,,,Сформулировано на основании результата анализа источников
,,DFC,,,,Извещение о страховом случае,"Документ, направляемый страхователем в адрес страховщика с указанием необходимых сведений о причинах, месте и времени страхового случая, а также других сведений, необходимых для принятия решения об урегулировании претензий страхователя",Кодекс РФ от 26.01.1996 N 14-ФЗ,,,Сформулировано на основании результата анализа источников
,,DFD,,,,Правила страхования,"Документ, разрабатываемый и утверждаемый страховой компанией (страховщиком), либо объединением страховщиков, а в обязательных видах страхования государством",Федеральный закон от 27.07.2010 N 225-ФЗ,,,Сформулировано на основании результата анализа источников
,,DFE,,,,Заявление на страхование,Заявление физического или юридического лица о желании заключить договор страхования,Приказ Минтруда России от 31.05.2017 N 462н,,,Сформулировано на основании результата анализа источников
,,DFF,,,,Страховой сертификат,"Документ, подтверждающий заключенный договор страхования между страховщиком и страхователем",Кодекс РФ от 30.04.1999 N 81-ФЗ,,,Сформулировано на основании результата анализа источников
,,DFG,,,,Страховая премия,"Плата за страхование, которую страхователь обязан внести страховщику в соответствии с договором страхования или законом",Кодекс РФ от 30.04.1999 N 81-ФЗ,,,Сформулировано на основании результата анализа источников
,,DFH,,,,Страховое уведомление,"Документ, направляемый страхователем страховщику, подтверждающий оформление страховки",Кодекс РФ от 26.01.1996 N 14-ФЗ,,,Сформулировано на основании результата анализа источников
,,DFJ,,,,Страховое объявление,"Документ, который используется в случае, если страхователь сообщает своему страховщику подробные сведения об отдельных отправках, на которые распространяется договор страхования или генеральный полис, заключенный между сторонами",Письмо ФСС России от 06.07.2011 N 14-03-11/08-6901,,,Сформулировано на основании результата анализа источников
,,DFK,,,,Счет страховщика,"Документ, который выдает страховщик с указанием суммы проведенного страхования и требованием оплаты этой суммы",Закон РФ от 27.11.1992 N 4015-1,,,Сформулировано на основании результата анализа источников
,,DFL,,,,Открытый ковернот,"Документ, выдаваемый страховщиком для извещения страхователя о том, что его инструкции по страхованию выполнены или в удостоверении совершенного агентом страхования в пользу страхователя",Закон РФ от 27.11.1992 N 4015-1,,,Сформулировано на основании результата анализа источников
,,DFM,,,,Договор страхования,"Соглашение между страхователем и страховщиком, в соответствии с условиями которого страховщик обязуется компенсировать ущерб в той или иной форме либо выплатить страхователю или выгодоприобретателю определенную денежную сумму при наступлении предусмотренного договором страхового случая",Кодекс РФ от 26.01.1996 N 14-ФЗ,По видам договоров страхования,,Сформулировано на основании результата анализа источников
,,,DFMA,,,Договор личного страхования,"Договор, по которому страховщик обязуется за обусловленную договором страховую премию, уплачиваемую страхователем, выплатить единовременно или выплачивать периодически обусловленную договором страховую сумму в случае причинения вреда жизни или здоровью самого страхователя или другого названного в договоре застрахованного лица, достижения им определенного возраста или наступления в его жизни иного предусмотренного договором страхового случая",Кодекс РФ от 26.01.1996 N 14-ФЗ,,,Сформулировано на основании результата анализа источников
,,,,,DFMA010,Договор страхование жизни и (или) здоровья,"Договор страхования, предусматривающий защиту имущественных интересов застрахованного лица, связанных с его жизнью и смертью",Закон РФ от 27.11.1992 N 4015-1,,,Сформулировано на основании результата анализа источников
,,,,,DFMA020,Договор добровольного медицинского страхования,"Договор страхования, позволяющий застрахованному получать медицинскую помощь в лечебно-профилактических учреждениях, не работающих по программе обязательного медицинского страхования, находящихся как на территории России, так и за рубежом",Письмо Минздравсоцразвития России от 13.11.2007 N 15-4/2187-09,,,Сформулировано на основании результата анализа источников
,,,,,DFMA030,Договор страхования от несчастных случаев и (или) болезней,"Договор страхования, предназначенный для возмещения ущерба, вызванного потерей здоровья или смертью застрахованного",Федеральный закон от 24.07.1998 N 125-ФЗ,,,Сформулировано на основании результата анализа источников
,,,DFMB,,,Договор имущественного страхования,"Договор страхования, по которому страховщик обязуется за обусловленную договором страховую премию при наступлении предусмотренного в договоре страхового случая возместить страхователю или иному лицу, в пользу которого заключен договор, причиненные вследствие этого убытки в застрахованном имуществе либо убытки в связи с иными имущественными интересами страхователя в пределах определенной договором страховой суммы",Кодекс РФ от 26.01.1996 N 14-ФЗ,,,Сформулировано на основании результата анализа источников
,,,DFMC,,,Договор страхования риска ответственности,"Договор страхования по обязательствам, возникшим вследствие причинения вреда жизни, здоровью или имуществу других лиц, по которому может быть застрахован риск ответственности самого страхователя или иного лица, на которое такая ответственность может быть возложена",Кодекс РФ от 26.01.1996 N 14-ФЗ,,,Сформулировано на основании результата анализа источников
,DG,,,,,Договор финансовых услуг,"Документально оформленное соглашение между потребителем и исполнителем финансовых услуг, определяющее юридические, экономические и технические отношения сторон",Кодекс РФ от 26.01.1996 N 14-ФЗ,По видам договоров финансовых услуг ,,Сформулировано на основании результата анализа источников
,,DGA,,,,Кредитный договор,"Договор между кредитором и заёмщиком, в соответствии с которым банк или иная кредитная организация обязуются предоставить денежные средства заёмщику в размере и на условиях, предусмотренных договором, а заёмщик обязуется возвратить полученную денежную сумму и уплатить проценты на неё",Кодекс РФ от 26.01.1996 N 14-ФЗ,,,Сформулировано на основании результата анализа источников
,,DGB,,,,Договор банковского вклада (депозита),"Договор, по которому одна сторона (банк), принявшая поступившую от другой стороны или поступившую для другой стороны денежную сумму (вклад), обязуется возвратить сумму вклада и выплатить проценты на нее на условиях и в порядке, предусмотренных договором",Кодекс РФ от 26.01.1996 N 14-ФЗ,,,Сформулировано на основании результата анализа источников
,,DGC,,,,Договор банковского счета,"Договор, по которому банк обязуется принимать и зачислять поступающие на счет, открытый клиенту (владельцу счета), денежные средства, выполнять распоряжения клиента о перечислении и выдаче соответствующих сумм со счета и проведении других операций по счету",Кодекс РФ от 26.01.1996 N 14-ФЗ,,,Сформулировано на основании результата анализа источников
,,DGD,,,,Договор финансирования,"Договор, по которому одна сторона (клиент) обязуется уступить другой стороне - финансовому агенту (фактору) денежные требования к третьему лицу (должнику) и оплатить оказанные услуги, а финансовый агент (фактор) обязуется совершить не менее двух следующих действий, связанных с денежными требованиями, являющимися предметом уступки",Кодекс РФ от 26.01.1996 N 14-ФЗ,,,Сформулировано на основании результата анализа источников
,,DGE,,,,Договор о залоге,"Договор, по которому кредитор имеет право возврата предоставленных им кредитных средств путем продажи имущества, выступающего в качестве залога, в случае если заемщик не исполняет условия взятого на себя обязательства",Кодекс РФ от 30.11.1994 N 51-ФЗ,,,Сформулировано на основании результата анализа источников
,,DGF,,,,Инвестиционный договор,"Договор, по которому одна сторона (исполнитель) обязуется произвести строительные или иные работы, передать полученный результат, а другая сторона (инвестор) финансирует работы с целью получения дальнейшей выгоды",Федеральный закон от 22.04.1996 N 39-ФЗ,,,Сформулировано на основании результата анализа источников
,,DGG,,,,Договор финансовой аренды (лизинга),"Договор, по которому арендодатель обязуется приобрести в собственность указанное арендатором имущество у определенного им продавца и предоставить арендатору это имущество за плату во временное владение и пользование",Кодекс РФ от 26.01.1996 N 14-ФЗ,,,Сформулировано на основании результата анализа источников
E,,,,,,Информация о ресурсах (трудовых),"Информация, определяющая сведения о трудовых ресурсах, необходимых для трудовой деятельности",Постановление Правительства РФ от 03.06.2011 N 440,"По видам информации, характеризующей трудовые ресурсы",,Сформулировано на основании результата анализа источников
,EA,,,,,Информация о трудовой деятельности,"Информация, определяющая сведения о трудовой деятельности работников организации",,"По видам информации, описывающей трудовую деятельность",,Сформулировано на основании результата анализа источников
,,EAA,,,,Выписка из трудовой книжки,"Заверенная выдержка данных, содержащая сведения о месте работы и стаже сотрудника",Кодекс РФ от 30.12.2001 N 197-ФЗ,,,Сформулировано на основании результата анализа источников
,,EAB,,,,Справка о заработной плате,"Документ, который применяется работодателями в нескольких случаях: уволенным работникам для начисления пособий по безработице, работнику при увольнении для расчета, для предъявления в банк и т. д.","Кодекс РФ от 30.12.2001 N 197-ФЗ
Приказ Минтруда России от 30.04.2013 N 182н",,,Сформулировано на основании результата анализа источников
,,EAC,,,,Приказ об увольнении с работы,"Документ, который применяется для оформления и учета увольнения работников","Кодекс РФ от 30.12.2001 N 197-ФЗ
Постановление Госкомстата России от 05.01.2004 N 1",,,Сформулировано на основании результата анализа источников
,,EAD,,,,Приказ о переводе на другую работу,"Документ, в который вносятся все необходимые сведения о сотруднике, его прежнем и новом месте работы и основании смены должности","Кодекс РФ от 30.12.2001 N 197-ФЗ
Постановление Госкомстата России от 05.01.2004 N 1",,,Сформулировано на основании результата анализа источников
,,EAE,,,,Приказ о приеме на работу,"Документ, на основании которого согласно трудовому договору отдел кадров заводит учетную карточку сотрудника, делает запись в его трудовой книжке, а бухгалтерия открывает лицевой счет и присваивает табельный номер","Кодекс РФ от 30.12.2001 N 197-ФЗ
Постановление Госкомстата России от 05.01.2004 N 1",,,Сформулировано на основании результата анализа источников
,,EAF,,,,Трудовая книжка,"Основной документ, подтверждающий трудовую деятельность и стаж работника",Кодекс РФ от 30.12.2001 N 197-ФЗ,,,Сформулировано на основании результата анализа источников
,,EAG,,,,Характеристика работника,"Документ, в котором работодатель дает оценку личным и профессиональным качествам сотрудника",Кодекс РФ от 30.12.2001 N 197-ФЗ,,,Сформулировано на основании результата анализа источников
,,EAH,,,,Личное дело работника,"Совокупность документов, содержащих наиболее полные сведения о работнике и его трудовой деятельности",Федеральный закон от 21.07.1997 N 114-ФЗ,,,Сформулировано на основании результата анализа источников
,,EAJ,,,,Трудовой договор,"Соглашение между работодателем и работником, в соответствии с которым работодатель обязуется предоставить работнику работу по обусловленной трудовой функции, обеспечить условия труда, предусмотренные трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашениями, локальными нормативными актами и данным соглашением, своевременно и в полном размере выплачивать работнику заработную плату, а работник обязуется лично выполнять определенную этим соглашением трудовую функцию в интересах, под управлением и контролем работодателя, соблюдать правила внутреннего трудового распорядка, действующие у данного работодателя",Кодекс РФ от 30.12.2001 N 197-ФЗ,По видам трудовых договоров,,Сформулировано на основании результата анализа источников
,,,EAJA,,,Дополнительное соглашение к трудовому договору,"Документ, при помощи которого работник и работодатель фиксируют достигнутые договоренности, касающиеся существенных условий труда",Кодекс РФ от 30.12.2001 N 197-ФЗ,,,Сформулировано на основании результата анализа источников
,,,EAJB,,,Трудовой договор совместительства,Выполнение работником другой регулярной оплачиваемой работы на условиях трудового договора в свободное от основной работы время,Кодекс РФ от 30.12.2001 N 197-ФЗ,,,Сформулировано на основании результата анализа источников
,,,EAJC,,,Срочный трудовой договор,"Трудовой договор между работником и работодателем, заключенный на определенный срок",Кодекс РФ от 30.12.2001 N 197-ФЗ,,,Сформулировано на основании результата анализа источников
,,,EAJD,,,Бессрочный трудовой договор,"Трудовой договор между работником и работодателем, заключенный на неопределенный срок",Кодекс РФ от 30.12.2001 N 197-ФЗ,,,Сформулировано на основании результата анализа источников
,EB,,,,,Персональные данные,"Любые сведения, относящиеся к прямо или косвенно определённому или определяемому физическому лицу (субъекту персональных данных), которые предоставляются другому физическому или юридическому лицу либо лицам",Федеральный закон от 27.07.2006 N 125-ФЗ,По видам персональных данных,,Сформулировано на основании результата анализа источников
,,EBA,,,,Медицинская карта,"Медицинский документ, в котором лечащими врачами ведётся запись истории болезни пациента и назначаемого ему лечения",Приказ Минздрава России от 15.12.2014 N 834н,,,Сформулировано на основании результата анализа источников
,,EBB,,,,Санитарная книжка,"Медицинский документ, необходимый при трудоустройстве и последующей работе на определенных должностях, в который вносятся результаты медицинского осмотра и гигиенической аттестации",Приказ Роспотребнадзора от 20.05.2005 N 402,,,Сформулировано на основании результата анализа источников
,,EBC,,,,Резюме,"Документ, содержащий информацию о навыках, опыте работы, образовании, и другую относящуюся к делу информацию, обычно требуемую для рассмотрения кандидатуры человека для найма на работу",Кодекс РФ от 30.12.2001 N 197-ФЗ,,,Сформулировано на основании результата анализа источников
,,EBD,,,,Удостоверение личности,"Документ, который удостоверяет личность и основные анкетные данные его владельца","Постановление Правительства РФ от 08.07.1997 N 828
Кодекс РФ от 30.04.1999 N 81-ФЗ",По видам удостоверяющих личность документов,,Сформулировано на основании результата анализа источников
,,,EBDA,,,Паспорт,"Основной документ, удостоверяющий личность, внутренний паспорт гражданина России на территории РФ",Постановление Правительства РФ от 08.07.1997 N 828,,,Сформулировано на основании результата анализа источников
,,,EBDB,,,Загранпаспорт,"Государственный документ, удостоверяющий личность и гражданство владельца при пересечении границ государств и пребывании за границей",Приказ МВД России от 13.11.2017 N 851,,,Сформулировано на основании результата анализа источников
,,,EBDC,,,Дипломатический паспорт,"Документ, выдающийся лицам, которые в соответствии с Венской конвенцией 1961 года о дипломатических сношениях и другими международными договорами Российской Федерации при выезде за пределы территории Российской Федерации для исполнения возложенных на них служебных обязанностей обладают дипломатическим иммунитетом",Указ Президента РФ от 28.07.2012 N 1056,,,Сформулировано на основании результата анализа источников
,,,EBDD,,,Свидетельство о рождении,Свидетельство о государственной регистрации акта гражданского состояния - факта рождения ребёнка,Федеральный закон от 15.11.1997 N 143-ФЗ,,,Сформулировано на основании результата анализа источников
,,,EBDE,,,Военный билет,"Военно-учетный документ, который выдается мужчинам вместо приписного свидетельства перед прохождением военной службы или при освобождении от призыва в армию",Федеральный закон от 28.03.1998 N 53-ФЗ ,,,Сформулировано на основании результата анализа источников
,,,EBDF,,,Удостоверение личности военнослужащего,"Основной единый документ, удостоверяющий личность и правовое положение военнослужащего Вооружённых Сил Российской Федерации по контракту, имеющего звание офицера или прапорщика",Постановление Правительства РФ от 12.02.2003 N 91,,,Сформулировано на основании результата анализа источников
,,,EBDG,,,Служебное удостоверение работника прокуратуры,"Документ, подтверждающий личность прокурорского работника, его классный чин и должность",Федеральный закон от 17.01.1992 N 2202-1,,,Сформулировано на основании результата анализа источников
,,,EBDH,,,Временное удостоверение личности,"Удостоверение личности, которое выдается гражданину по его просьбе до оформления нового паспорта территориальным органом МВД РФ",Приказ МВД России от 13.11.2017 N 851,,,Сформулировано на основании результата анализа источников
,,,EBDJ,,,Табельный номер сотрудника,"Уникальный номер сотруднику организации или её крупного структурного подразделения, под которым сотрудник фигурирует во внутренних документах, прежде всего в личном деле, табеле и документах на выплату заработной платы","Письмо Госкомтруда СССР N 75-АБ, Минфина СССР N 89, ЦСУ СССР N 10-80 от 27.04.1973",,,Сформулировано на основании результата анализа источников
,,,EBDK,,,Командировочное удостоверение,"Документ, выдаваемый сотруднику на время выполнения им служебных обязанностей вне постоянного места работы",Постановление Госкомстата России от 05.01.2004 N 1,,,Сформулировано на основании результата анализа источников
,,EBE,,,,Информация о квалификации,"Информация об уровне знаний, умений, профессиональных навыков и опыта работы работника",Кодекс РФ от 30.12.2001 N 197-ФЗ,По видам документов о квалификации,,Сформулировано на основании результата анализа источников
,,,EBEA,,,Документ о квалификации,"Документ, подтверждающий повышение или присвоение квалификации по результатам дополнительного профессионального образования, а также присвоение разряда или класса, категории по результатам профессионального обучения","Постановление Госкомстата России от 05.01.2004 N 1
Федеральный закон от 29.12.2012 N 273-ФЗ",,,Сформулировано на основании результата анализа источников
,,,,,EBEA010,Сертификат повышения квалификации,"Документ, удостоверяющий факт присвоения категории, разряда, класса как результат пройденного профессионального обучения или полученного дополнительного образования",Федеральный закон от 29.12.2012 N 273-ФЗ,,,Сформулировано на основании результата анализа источников
,,,,,EBEA020,Удостоверение повышения квалификации,"Документ, констатирующий повышение или присвоение квалификации по итогам полученного дополнительного профессионального образования",Федеральный закон от 29.12.2012 N 273-ФЗ,,,Сформулировано на основании результата анализа источников
,,,,,EBEA030,Диплом о профессиональной переподготовке,"Документ, который подтверждает присвоение квалификации по результатам дополнительного профессионального образования, и который дает право вести профессиональную деятельность по изученной специальности","Постановление Госкомстата России от 05.01.2004 N 1
Федеральный закон от 29.12.2012 N 273-ФЗ",,,Сформулировано на основании результата анализа источников
,,,,,EBEA040,Свидетельство об обучении,"Документ, констатирующий факт участия в различных краткосрочных мероприятиях образовательного характера",Федеральный закон от 29.12.2012 N 273-ФЗ,,,Сформулировано на основании результата анализа источников
,,,EBEB,,,Документ об образовании,"Документ, удостоверяющий уровень полученного лицом образования и/или присвоенной ему классификации или академической степени по окончании конкретного учебного заведения общего и/или профессионального образования",Федеральный закон от 29.12.2012 N 273-ФЗ,,,Сформулировано на основании результата анализа источников
,,,,,EBEB010,Аттестат об основном общем образовании,Документ государственного образца о получении полного общего образования,"Приказ Министерства образования и науки Российской Федерации от 14.02.2014 N 115
Федеральный закон от 29.12.2012 N 273-ФЗ",,,Сформулировано на основании результата анализа источников
,,,,,EBEB020,Аттестат об основном среднем образовании,Документ государственного образца о получении среднего общего образования,"Приказ Министерства образования и науки Российской Федерации от 14.02.2014 N 115
Федеральный закон от 29.12.2012 N 273-ФЗ",,,Сформулировано на основании результата анализа источников
,,,,,EBEB030,Диплом о среднем профессиональном образовании,"Документ, удостоверяющий о получении среднего профессионального образования, которое направлено на подготовку квалифицированных рабочих, служащих и специалистов среднего звена",Приказ Министерства образования и науки Российской Федерации от 04.07.2013 N 531,,,Сформулировано на основании результата анализа источников
,,,,,EBEB040,Диплом бакалавра,"Документ, удостоверяющий получение высшего образования, по окончании которого присваивается квалификация (степень) бакалавра",Федеральный закон от 29.12.2012 N 273-ФЗ,,,Сформулировано на основании результата анализа источников
,,,,,EBEB050,Диплом специалиста,"Документ, удостоверяющий получение высшего образования, по окончании которого присваивается квалификация (степень) специалиста",Федеральный закон от 29.12.2012 N 273-ФЗ,,,Сформулировано на основании результата анализа источников
,,,,,EBEB060,Диплом магистра,"Документ, удостоверяющий получение высшего образования, по окончании которого присваивается квалификация (степень) магистра",Федеральный закон от 29.12.2012 N 273-ФЗ,,,Сформулировано на основании результата анализа источников
,,,,,EBEB070,Диплом об окончании аспирантуры (адъюнктуры),"Документ, удостоверяющий окончание аспирантуры (адъюнктуры)",Федеральный закон от 29.12.2012 N 273-ФЗ,,,Сформулировано на основании результата анализа источников
,,,,,EBEB080,Диплом об окончании ординатуры,"Документ, удостоверяющий окончание ординатуры",Федеральный закон от 29.12.2012 N 273-ФЗ,,,Сформулировано на основании результата анализа источников
,,,,,EBEB090,Диплом об окончании ассистентуры-стажировки,"Документ, удостоверяющий окончание ассистентуры-стажировки",Федеральный закон от 29.12.2012 N 273-ФЗ,,,Сформулировано на основании результата анализа источников
,EC,,,,,Документ о допуске,"Документ, подтверждающий наличие права на выполнение определенного вида работ или права на допуск к информации определенного рода",,По объектам допуска,,Сформулировано на основании результата анализа источников
,,ECA,,,,Документ о допуске к работам,"Документ, подтверждающий наличие права на выполнение определенного вида работ",,По видам допуска к работам,,Сформулировано на основании результата анализа источников
,,,ECAA,,,Свидетельство о допуске к строительно-монтажным работам,"Документ, подтверждающий наличие права на выполнение строительно-монтажных работ",,,,Сформулировано на основании результата анализа источников
,,,ECAB,,,Свидетельство о допуске к проектным работам,"Документ, подтверждающий наличие права на выполнение проектных работ",,,,Сформулировано на основании результата анализа источников
,,,ECAC,,,Свидетельство о допуске к ремонтным работам,"Документ, подтверждающий наличие права на выполнение ремонтных работ",,,,Сформулировано на основании результата анализа источников
,,,ECAD,,,Допуск к высотным работам,"Документ, подтверждающий наличие права на выполнение высотных работ",,,,Сформулировано на основании результата анализа источников
,,,ECAE,,,Допуск к работам по проектированию,"Документ, подтверждающий наличие права на выполнение работ по проектированию",,,,Сформулировано на основании результата анализа источников
,,,ECAF,,,Медицинская справка,"Документ, подтверждающий прохождение профилактического осмотра в объеме, необходимом для осуществления трудовой деятельности",Приказ Минздравсоцразвития России от 15.05.2012 N 543н,,,Сформулировано на основании результата анализа источников
,,,ECAG,,,Наряд-допуск к работам,"Распоряжение на безопасное проведение работы, определяющее ее содержание, место, время начала и окончания, необходимые меры по безопасности, состав бригады и лиц, ответственных за безопасное выполнение работы",Приказ Минтруда России от 24.07.2013 N 328н,,,Сформулировано на основании результата анализа источников
,,ECB,,,,Документ о допуске к информации,"Документ, подтверждающий наличие права на допуск к информации определенного рода",,По видам допуска к информации,,Сформулировано на основании результата анализа источников
,,,ECBA,,,Допуск к коммерческой тайне,"Документ, подтверждающий наличие права доступа к сведениям с грифом «Коммерческая тайна»",Федеральный закон от 30.11.1994 N 53-ФЗ ,,,Сформулировано на основании результата анализа источников
,,,ECBB,,,Допуск к информации служебного пользования,"Документ, подтверждающий наличие права доступа к сведениям с грифом «Для служебного пользования»",Федеральный закон от 30.11.1994 N 53-ФЗ ,,,Сформулировано на основании результата анализа источников
